study_accession	sample_accession	experiment_accession	run_accession	scientific_name	read_count	base_count	run_alias	fastq_ftp	sample_alias
PRJEB14847	SAMEA4347748	ERX1610427	ERR1539337	gut metagenome	25959934	5022571612	run_AWF_NIOSW_4_D14FJACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539337/ERR1539337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539337/ERR1539337_2.fastq.gz	sample_AWF_749906_B1_035
PRJEB14847	SAMEA4347534	ERX1610269	ERR1539338	gut metagenome	21554852	4279066653	run_AWF_BQOSW_2_C0KU9ACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539338/ERR1539338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539338/ERR1539338_2.fastq.gz	sample_AWF_749906_B1-111
PRJEB14847	SAMEA4347721	ERX1610154	ERR1539344	gut metagenome	29908015	5929156513	run_AWF_KSOSW_2_D11VRACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539344/ERR1539344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539344/ERR1539344_2.fastq.gz	sample_AWF_749906_B1-094
PRJEB14847	SAMEA4347653	ERX1610379	ERR1539347	gut metagenome	24234956	4742526486	run_AWF_HHOSW_1_C0UT3ACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539347/ERR1539347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539347/ERR1539347_2.fastq.gz	sample_AWF_749906_C1-011
PRJEB14847	SAMEA4347647	ERX1610245	ERR1539348	gut metagenome	27746630	5380775820	run_AWF_NBOSW_5_D14FJACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539348/ERR1539348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539348/ERR1539348_2.fastq.gz	sample_AWF_749906_B1_184
PRJEB14847	SAMEA4347535	ERX1610149	ERR1539350	gut metagenome	26472000	5243717483	run_AWF_ISOSW_3_C0UW8ACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539350/ERR1539350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539350/ERR1539350_2.fastq.gz	sample_AWF_749906_B1-115
PRJEB14847	SAMEA4347469	ERX1610140	ERR1539351	gut metagenome	22015774	4280681284	run_AWF_LPOSW_1_D14RHACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539351/ERR1539351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539351/ERR1539351_2.fastq.gz	sample_AWF_749906_A1_073
PRJEB14847	SAMEA4347724	ERX1610163	ERR1539352	gut metagenome	27785567	5467941060	run_AWF_QNOSW_6_C1KG9ACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539352/ERR1539352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539352/ERR1539352_2.fastq.gz	sample_AWF_749906_A1 156
PRJEB14847	SAMEA4347679	ERX1610382	ERR1539356	gut metagenome	16309820	3229583474	run_AWF_BBOSW_1_C0KU9ACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539356/ERR1539356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539356/ERR1539356_2.fastq.gz	sample_AWF_749906_C1-021
PRJEB14847	SAMEA4347544	ERX1610145	ERR1539357	gut metagenome	31075018	6108017181	run_AWF_RQOSW_3_C1JJBACXX.IND16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539357/ERR1539357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539357/ERR1539357_2.fastq.gz	sample_AWF_749906_B1-118
PRJEB14847	SAMEA4347655	ERX1610423	ERR1539360	gut metagenome	22920967	4483342184	run_AWF_GSOSW_1_C0UT3ACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539360/ERR1539360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539360/ERR1539360_2.fastq.gz	sample_AWF_749906_C1-010
PRJEB14847	SAMEA4347652	ERX1610174	ERR1539362	gut metagenome	16138199	3162822992	run_AWF_AAHOSW_1_HAYK5ADXX.IND28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539362/ERR1539362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539362/ERR1539362_2.fastq.gz	sample_AWF_749906_B1_186
PRJEB14847	SAMEA4347587	ERX1610150	ERR1539369	gut metagenome	18392254	3635132069	run_AWF_BDOSW_1_C0KU9ACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539369/ERR1539369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539369/ERR1539369_2.fastq.gz	sample_AWF_749906_B1-001
PRJEB14847	SAMEA4347493	ERX1610112	ERR1539372	gut metagenome	28679915	5644063558	run_AWF_PMOSW_2_C1JJBACXX.IND17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539372/ERR1539372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539372/ERR1539372_2.fastq.gz	sample_AWF_749906_C2
PRJEB14847	SAMEA4347548	ERX1610142	ERR1539375	gut metagenome	33250943	3227038169	run_AWF_BPOSW_4_C0BCMACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539375/ERR1539375.fastq.gz	sample_AWF_749906_B1-101
PRJEB14847	SAMEA4347587	ERX1610212	ERR1539376	gut metagenome	30098570	2902292333	run_AWF_BDOSW_1_C0BCMACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539376/ERR1539376.fastq.gz	sample_AWF_749906_B1-001
PRJEB14847	SAMEA4347616	ERX1610221	ERR1539377	gut metagenome	25868374	5125199188	run_AWF_KPOSW_4_C0UW8ACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539377/ERR1539377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539377/ERR1539377_2.fastq.gz	sample_AWF_749906_A1-144
PRJEB14847	SAMEA4347541	ERX1610347	ERR1539378	gut metagenome	39978551	3938061139	run_AWF_AGOSW_7_C0BB7ACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539378/ERR1539378.fastq.gz	sample_AWF_749906_A1-061
PRJEB14847	SAMEA4347494	ERX1610183	ERR1539380	gut metagenome	32315435	6318858671	run_AWF_PLOSW_6_C1KG9ACXX.IND21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539380/ERR1539380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539380/ERR1539380_2.fastq.gz	sample_AWF_749906_C1
PRJEB14847	SAMEA4347719	ERX1610372	ERR1539383	gut metagenome	21738640	4202052089	run_AWF_LMOSW_1_D14RHACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539383/ERR1539383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539383/ERR1539383_2.fastq.gz	sample_AWF_749906_C1_028
PRJEB14847	SAMEA4347602	ERX1610400	ERR1539389	gut metagenome	26381245	5156467568	run_AWF_SMOSW_2_C4VR1ACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539389/ERR1539389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539389/ERR1539389_2.fastq.gz	sample_AWF_749906_A1-028
PRJEB14847	SAMEA4347518	ERX1610378	ERR1539393	gut metagenome	20245502	4000034455	run_AWF_HDOSW_1_HAYK8ADXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539393/ERR1539393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539393/ERR1539393_2.fastq.gz	sample_AWF_749906_B1-043
PRJEB14847	SAMEA4347479	ERX1610214	ERR1539397	gut metagenome	25598130	5002720327	run_AWF_THOSW_4_C4VR1ACXX.IND22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539397/ERR1539397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539397/ERR1539397_2.fastq.gz	sample_AWF_749906_B1-026
