,Sample,Lab,study_accession,sample_accession,experiment_accession,run_accession,scientific_name,read_count,base_count,run_alias,fastq_ftp,sample_alias,sample_gro
0,A1_011,1,PRJEB14847,SAMEA4347635,ERX1610308,ERR1539424,gut metagenome,39309536,7614194289,run_AWF_ABOSW_3_D0AE5ACXX.IND3,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539424/ERR1539424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539424/ERR1539424_2.fastq.gz,A1_011,A
1,A1_152,2,PRJEB14847,SAMEA4347597,ERX1610284,ERR1539600,gut metagenome,27318952,5354834157,run_AWF_FAOSW_2_D11TTACXX.IND10,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539600/ERR1539600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539600/ERR1539600_2.fastq.gz,A1_152,A
2,A1_109,3,PRJEB14847,SAMEA4347684,ERX1610111,ERR1539394,gut metagenome,31324956,6182125911,run_AWF_PNOSW_2_C1K1EACXX.IND5,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539394/ERR1539394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539394/ERR1539394_2.fastq.gz,A1_109,A
3,A1_042,4,PRJEB14847,SAMEA4347581,ERX1610351,ERR1539382,gut metagenome,28132202,5538422196,run_AWF_FTOSW_3_D11TTACXX.IND8,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539382/ERR1539382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539382/ERR1539382_2.fastq.gz,A1_042,A
4,A1_163,5,PRJEB14847,SAMEA4347714,ERX1610387,ERR1539358,gut metagenome,25948395,5022195922,run_AWF_LFOSW_1_D14MKACXX.IND4,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539358/ERR1539358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539358/ERR1539358_2.fastq.gz,A1_163,A
5,A1_173,6,PRJEB14847,SAMEA4347731,ERX1610103,ERR1539438,gut metagenome,28684940,5583949512,run_AWF_LROSW_3_D14FJACXX.IND2,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539438/ERR1539438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539438/ERR1539438_2.fastq.gz,A1_173,A
6,A1_033,7,PRJEB14847,SAMEA4347601,ERX1610229,ERR1539435,gut metagenome,25951297,5050425654,run_AWF_GIOSW_3_C0UT3ACXX.IND11,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539435/ERR1539435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539435/ERR1539435_2.fastq.gz,A1_033,A
7,A1_135,8,PRJEB14847,SAMEA4347642,ERX1610381,ERR1539650,gut metagenome,30011046,5779560925,run_AWF_NGOSW_4_D14FJACXX.IND7,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539650/ERR1539650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539650/ERR1539650_2.fastq.gz,A1_135,A
8,A1_193,9,PRJEB14847,SAMEA4347531,ERX1610109,ERR1539674,gut metagenome,29305807,5720660469,run_AWF_HCOSW_1_D11TTACXX.IND10,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539674/ERR1539674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539674/ERR1539674_2.fastq.gz,A1_193,A
9,A1_175,11,PRJEB14847,SAMEA4347723,ERX1610246,ERR1539612,gut metagenome,26545834,5164753251,run_AWF_MGOSW_2_D14RHACXX.IND12,ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539612/ERR1539612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539612/ERR1539612_2.fastq.gz,A1_175,A
