Abundance,1000IBD00059,1000IBD00654,1000IBD00598,1000IBD00646,1000IBD00702,1000IBD00540,1000IBD00510,1000IBD00395,1000IBD00435,1000IBD00594,1000IBD00275,1000IBD00631,1000IBD00286,1000IBD00357,1000IBD00723,1000IBD00310,1000IBD00641,1000IBD00545,1000IBD00192,1000IBD00082,1000IBD00726,1000IBD00711,1000IBD00255,1000IBD00097,1000IBD00419,1000IBD00479,1000IBD00064,1000IBD00671,1000IBD00652,1000IBD00629,1000IBD00625,1000IBD00607,1000IBD00253,1000IBD00111,1000IBD00105,1000IBD00409,1000IBD00550,1000IBD00050,1000IBD00125,1000IBD00018,1000IBD00126,1000IBD00150,1000IBD00114,1000IBD00600,1000IBD00509,1000IBD00374,1000IBD00548,1000IBD00103,1000IBD00408,1000IBD00508,1000IBD00666,1000IBD00326,1000IBD00234,1000IBD00494,1000IBD00534,1000IBD00701,1000IBD00538,1000IBD00204,1000IBD00624,1000IBD00495,1000IBD00033,1000IBD00343,1000IBD00273,1000IBD00215,1000IBD00385,1000IBD00627,1000IBD00328,1000IBD00147,1000IBD00063,1000IBD00311,1000IBD00281,1000IBD00342,1000IBD00030,1000IBD00194,1000IBD00614,1000IBD00010,1000IBD00185,1000IBD01332,1000IBD00161,1000IBD00514,1000IBD00364,1000IBD00304,1000IBD00173,1000IBD00287,1000IBD00339,1000IBD00027,1000IBD00423,1000IBD00676,1000IBD00264,1000IBD00224,1000IBD00200,1000IBD00202,1000IBD00106,1000IBD00107,1000IBD00278,1000IBD00536,1000IBD00664,1000IBD00036,1000IBD00225,1000IBD00195,1000IBD00474,1000IBD00016,1000IBD00296,1000IBD00068,1000IBD00626,1000IBD00469,1000IBD00072,1000IBD00032,1000IBD00583,1000IBD00442,1000IBD00014,1000IBD00345,1000IBD00265,1000IBD00145,1000IBD00128,1000IBD01329,1000IBD00119,1000IBD00458,1000IBD00308,1000IBD00141,1000IBD00219,1000IBD00156,1000IBD00633,1000IBD00098,1000IBD00604,1000IBD00054,1000IBD00621,1000IBD00703,1000IBD00112,1000IBD00329,1000IBD00006,1000IBD00569,1000IBD00421,1000IBD00655,1000IBD00410,1000IBD00295,1000IBD00188,1000IBD00492,1000IBD00386,1000IBD00416,1000IBD00077,1000IBD00644,1000IBD00630,1000IBD00069,1000IBD00649,1000IBD00681,1000IBD00567,1000IBD00663,1000IBD00566,1000IBD00334,1000IBD00044,1000IBD00039,1000IBD00505,1000IBD00688,1000IBD00686,1000IBD00293,1000IBD00512,1000IBD00367,1000IBD00363,1000IBD00643,1000IBD00040,1000IBD00229,1000IBD00066,1000IBD00187,1000IBD00100,1000IBD00571,1000IBD00043,1000IBD00401,1000IBD00580,1000IBD00692,1000IBD00535,1000IBD00679,1000IBD00485,1000IBD00695,1000IBD00301,1000IBD00669,1000IBD00596,1000IBD00205,1000IBD00684,1000IBD00041,1000IBD00390,1000IBD00690,1000IBD00360,1000IBD00637,1000IBD00486,1000IBD00559,1000IBD00248,1000IBD00605,1000IBD00448,1000IBD00228,1000IBD00713,1000IBD00123,1000IBD00042,1000IBD00035,1000IBD00108,1000IBD00398,1000IBD00109,1000IBD00277,1000IBD00086,1000IBD00477,1000IBD00331,1000IBD00155,1000IBD00332,1000IBD00028,1000IBD00581,1000IBD00309
k__Bacteria,100.0,100.0,100.0,100.0,100.0,99.53797,99.99119,100.0,100.0,100.0,100.0,99.97903,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.03024,100.0,100.0,99.92397,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.61531,99.99683,100.0,100.0,99.95922,100.0,100.0,100.0,100.0,99.36421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98888,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.4664,100.0,100.0,100.0,100.0,99.7528,99.98425,100.0,100.0,100.0,100.0,100.0,99.27154,100.0,99.96176,100.0,100.0,100.0,99.98946,100.0,100.0,100.0,100.0,100.0,97.77595,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97877,99.2527,96.32341,100.0,100.0,99.97237,100.0,100.0,100.0,100.0,100.0,97.01179,100.0,100.0,99.99387,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.94924,100.0,100.0,100.0,99.86778,100.0,100.0,100.0,100.0,98.77867,99.20372,100.0,99.57543,100.0,100.0,100.0,99.583,99.60449,100.0,100.0,99.6241,97.85293,100.0,100.0,100.0,100.0,100.0,100.0,99.98983,99.9529,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.90508,100.0,100.0,100.0,100.0,100.0,100.0,99.33182,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9944,100.0
p__Firmicutes,82.53775,96.68022,85.71645,76.82487,50.61813,70.53826,66.0041,52.11088,94.10863,29.7832,47.03883,59.8813,51.80108,72.17206,87.96301,76.32063,76.76529,75.61735,69.14731,65.33815,68.34456,78.0828,99.43749,69.38556,72.89096,67.55346,76.92145,72.46465,82.57252,73.18599,72.94817,78.7165,69.6428,83.03767,70.61592,85.82789,46.32018,68.31667,87.03524,79.17551,67.07371,78.41209,60.71537,65.83744,36.14862,89.47769,81.74093,50.81374,91.58015,64.99497,64.91705,77.10014,87.42702,68.36666,60.49631,92.564,76.54418,72.93447,88.3234,41.81889,86.49368,69.10944,86.93638,99.11745,88.46485,86.29907,67.67938,69.76479,63.71504,73.79167,77.93227,61.34679,64.16899,67.13242,81.52015,75.47034,75.14011,84.43966,76.33076,73.3855,45.96767,59.09695,81.94091,82.09905,71.61386,83.90433,92.91522,88.25246,66.96322,87.53349,91.95433,78.01454,85.61087,75.5853,64.59052,65.35856,68.81674,60.37204,91.76783,76.24622,67.83982,90.29397,80.9937,65.81182,64.03864,62.42581,76.3011,91.52314,32.45256,77.34921,57.9601,48.52259,59.20148,69.24604,47.35968,73.34659,61.55686,73.44625,75.50188,86.98777,82.28135,81.01399,77.648,85.37594,85.92613,61.1666,76.64476,77.45899,81.50216,68.51193,65.1012,57.89551,83.08608,81.11581,68.55924,89.31721,51.54818,63.55705,39.45904,78.75882,91.30137,81.84218,88.1965,89.84613,40.19478,80.73313,68.41733,35.50397,60.66877,58.40869,84.28121,80.11949,83.31755,71.24997,74.37738,53.04574,92.50375,76.50974,62.59341,56.10869,69.04716,58.12441,73.67445,92.45588,37.14751,58.05852,75.177,90.46065,76.28085,81.5772,59.89968,74.98527,58.676,63.83586,89.69362,44.81179,67.70399,90.84078,48.54755,83.38663,72.28827,67.55319,92.78785,58.99312,96.1922,57.68769,70.45345,78.1802,75.58344,70.72901,80.76199,85.64014,15.84983,97.57022,47.34304,60.51398,60.64607,73.25572,80.84979,66.6981,93.17848,94.60948,59.57801,82.53106,87.85444,92.99397
p__Bacteroidetes,11.07268,0,8.64386,15.28633,8.17186,6.44836,16.17001,21.3401,1.12973,0.26689,32.37765,7.87733,26.93203,24.07332,1.88717,3.57291,0.55519,16.80556,13.71621,11.14425,25.26533,1.82348,0,23.1994,19.07705,28.41596,12.82577,17.7186,2.84221,14.22045,17.85789,6.02278,9.43867,9.09764,23.6691,6.35722,37.52221,19.44024,6.92088,7.46863,0.47461,9.31994,30.87879,19.3,23.05422,8.63186,15.82382,27.96017,3.15913,12.841,15.51223,8.88833,0.18768,18.92578,23.40076,4.449,5.46225,15.55908,7.76596,25.51305,7.88586,8.4912,0,0.5337,0.00809,9.07544,16.18121,16.1988,8.64734,4.53588,20.96033,32.78289,32.46728,23.17492,8.66152,3.13456,19.09773,13.22277,14.74047,15.71801,43.37772,11.7458,8.7258,1.53677,9.42495,8.70673,2.2599,8.6044,21.01882,3.82405,5.62349,14.31663,10.58762,3.60474,6.32217,15.88067,15.01233,18.46146,4.32153,7.72409,19.59639,1.75053,16.18989,17.05648,9.84626,23.00398,2.00985,6.51063,49.10786,3.65669,18.37035,28.08155,31.70709,5.63749,21.97545,13.54008,10.58544,12.44761,12.82589,5.73372,12.14267,6.44712,17.79965,8.01933,3.51624,14.83217,16.20994,2.63341,8.75348,21.91163,26.54403,21.10679,7.35989,10.31379,9.95257,0,25.28273,12.88712,54.93662,10.30819,1.26811,5.57249,9.19727,0.12669,40.21675,9.84629,12.84844,12.19865,31.50467,27.09579,7.19711,16.54491,13.49139,10.96506,12.49898,31.50415,0,14.64763,13.71009,38.16336,3.78146,32.05066,13.43852,0,57.67426,37.63825,19.7672,0.9248,7.62016,11.48902,28.55943,6.84982,29.6232,16.46786,2.42882,12.85502,7.72816,0,30.05231,13.73899,10.31174,9.57098,3.0687,13.11509,0.65712,32.07502,14.22704,5.7154,20.52739,0.8246,10.27891,5.32598,76.1491,0.72352,31.41491,8.50999,11.08865,12.10395,3.87209,20.33112,0.04829,3.55876,23.42821,15.51325,0,4.68502
p__Actinobacteria,3.64466,2.30989,2.59352,4.07518,37.38942,21.92894,6.38587,24.83665,4.34735,69.15238,2.31204,32.12245,5.38602,2.54167,8.97349,19.45488,20.88585,2.91566,9.28411,22.47827,5.33466,17.73157,0.0146,5.78771,3.93875,0,9.52319,5.91276,11.93181,8.88275,7.81833,14.04591,18.9369,5.12135,3.11746,6.1923,13.83099,4.72817,5.56083,12.0745,31.34707,12.15544,5.39899,14.30946,1.68685,0.79226,1.80458,20.89555,3.71639,20.43228,17.54954,11.42067,11.31774,11.27459,14.7791,2.85291,17.17535,8.06578,1.37007,28.74766,4.65729,10.83679,0,0.02105,11.4288,3.72086,9.96767,13.72804,27.36714,19.35105,0.79881,2.15464,0.21697,5.12013,2.99216,20.14469,4.05495,1.11719,8.72505,4.94114,2.22945,28.45412,9.28119,16.31865,18.14663,4.1976,4.25195,0.76721,10.20521,8.18499,1.39099,6.41526,2.92817,20.48717,3.68689,16.9469,15.69026,2.50262,3.48048,15.45053,11.89032,6.69915,2.15966,14.15317,17.0689,13.47676,21.51008,1.84975,2.53952,17.76525,22.59753,21.72147,1.77221,3.1198,29.40311,9.02046,17.83181,13.14507,11.44791,3.69804,4.90541,11.03645,3.04213,4.90662,9.23009,15.44291,2.96996,18.54472,9.047,4.32693,5.87501,18.65155,9.36858,7.55437,17.40648,3.86019,21.09592,20.6964,3.3508,8.58612,7.31293,11.72834,2.1105,8.9011,1.97386,8.22419,16.81585,50.21088,6.3546,6.26158,8.34745,3.30687,2.44575,13.36633,10.58274,14.75817,5.04677,7.29555,20.61846,4.46851,25.79617,5.68736,12.71439,0.04448,0.54531,3.39198,1.60326,3.7946,15.66332,6.86748,10.42876,16.80475,11.53218,19.45806,7.592,41.90456,21.70497,0.03656,20.87715,1.87328,15.01747,21.95367,1.92774,26.55041,2.78781,8.33285,14.61285,14.37776,2.49325,28.14464,8.05647,7.35388,5.32809,0.57713,10.32802,29.57951,27.75684,11.51558,14.45356,12.75289,1.28602,0.03494,12.37043,1.30108,12.13996,1.48566
p__Proteobacteria,2.38111,0.70153,0.85109,0.20122,3.21753,0.3247,3.23227,1.71237,0.41429,0.79753,1.89015,0.07537,14.6894,1.03101,1.17632,0.65157,0,4.66143,0.32377,0.19106,0.92874,0.39924,0.54791,0.11956,1.07744,4.03057,0.7296,0.42533,0.28463,0.92223,1.24004,0.43209,0.27974,2.63191,2.59752,1.62259,2.17695,2.57375,0.48304,0.57395,0.78605,0.11253,1.3307,0.53968,39.11031,1.03913,0.56699,0.33054,0.39125,1.27282,1.24364,0.71652,0.02358,1.43297,1.32383,0.09331,0.73575,3.44068,0.51618,3.9204,0.31428,2.64425,13.06362,0.3278,0.09826,0.38605,2.87061,0.27177,0.27048,0.36372,0.30859,1.33899,2.4021,1.51852,1.75087,1.24918,1.11887,1.17944,0.20372,2.46286,8.42517,0.70312,0.0521,0.04553,0.56736,3.07021,0.16943,1.8075,1.57692,0.09841,1.03119,0.07309,0.87334,0.28455,0.26367,0.16088,0.48067,2.16368,0.41978,0.32553,0.55876,1.20974,0.65605,0.75448,1.08804,0.98048,0.17897,0.11648,15.81023,0.09457,0.69958,1.67439,5.0481,1.0032,1.06391,3.34557,6.3493,0.96108,0.21994,0.45916,0.67057,1.50244,1.51021,1.69811,0.30317,2.05081,4.17534,1.36288,0.49137,5.05553,2.47976,2.34615,0.18545,1.01603,2.37139,6.8226,2.07317,0.35258,1.20003,0.87046,0.11445,0.62922,0.49573,0.9482,0.45711,0.27995,0.67419,0.39557,1.38987,2.90495,0.17423,0.02873,0.74531,2.12194,1.13066,0.66389,2.44948,1.06595,0.92807,1.22061,0.18169,4.13538,0.157,7.49964,2.24814,0.90109,3.11277,4.81278,0.33424,0.0663,0.97124,1.36016,0.01266,0.23822,0.28556,0.42863,0.51251,8.75289,0.51089,1.0011,2.2968,0.92216,2.01474,1.15708,0.25594,1.16896,0.63609,0.81352,1.39591,0.30176,0.10021,1.23015,2.55318,1.12912,1.6624,0.81242,0.50844,0.94943,0.09207,0.21789,4.59446,0.91372,4.56958,0.62013,0,0.83536
p__Candidatus_Melainabacteria,0.29988,0,0,0,0,0,0.00404,0,0,0,0,0,0,0.07004,0,0,0.00172,0,0,0,0,0.00501,0,0,0,0,0,0.13335,0.03629,0,0,0,0,0,0,0,0,3.717,0,0.11448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131,0.12231,0,0,0,0,0,0.02884,0,0.0205,0,0.08747,0,0,0.03352,0.00123,0,0,0,0.41524,0,0,0,0,0,0.02298,0.01086,0,0,0,0,0,0,0,0,0,0,0.18063,0,0,0,0,0,0,0,0.11298,0,0,0,0,0,0,0.39532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19987,0,0,0,0,0,0,0,0,0,1.0445,0.03353,0,0,0,0,0,0,0,0,0,0.38334,0,0,0,0,0.07927,0,0,0,0.0029,0,0,0,0,0,0,0,0.07726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01576,0.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Synergistetes,0.06393,0,0,0,0,0,0.15032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04571,0,0,0,0,0.25456,0,0,0.02133,0,0,0,0,0,1.22416,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0.00808,0,0,0,0,0,0,2.02439,0,0,0,0,0,0,0,0,0,0,0.02652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10952,0,0,0,0,0,0,0,0,0.44292,0.17661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0.05948,0,0,0,0,0.02285,0.00698,0,0.36623,0,0,0,0,0.00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15596,0,0,0,0,0,0.0121,0,0.08573,0,0,0.08761,0.01299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03494,0,0.89275,0,0,0,0,0
c__Clostridia,79.71378,88.71912,80.04237,69.97117,1.76309,61.86842,39.91566,44.16776,83.84226,18.85191,35.91698,51.492,25.20122,57.74404,84.17819,65.05367,57.66633,68.93205,66.41143,61.77376,57.93515,74.2588,0,53.43896,59.75347,65.91418,70.14972,59.26913,71.07354,64.41814,66.05729,73.46395,65.26801,66.5353,63.88884,77.39704,20.33857,50.42995,80.92465,65.52404,54.86413,59.61184,57.61052,56.50777,25.35953,85.01494,74.00564,45.28654,75.51675,50.27421,55.89574,67.97889,76.20715,53.08705,58.15071,82.59838,69.54877,50.39346,79.53535,33.15886,76.66016,59.98332,72.12518,91.55396,83.71372,81.78699,50.64145,58.86165,55.93549,63.64159,74.93104,51.62158,56.77855,63.04864,68.06459,37.66189,65.10087,65.50331,69.10878,53.0519,45.64766,52.76426,66.06459,71.88974,49.1669,76.52127,86.11915,78.51883,51.30448,47.40645,87.23871,70.0933,74.20396,68.60091,58.35293,55.03665,59.23933,50.66389,40.97802,72.43434,54.70311,74.17666,73.11583,50.02489,46.35998,59.41093,55.2031,87.11762,17.44782,68.47758,53.91613,35.64209,53.55671,60.41627,38.826,57.45685,33.15585,56.95234,68.62039,71.74581,64.74349,67.90769,70.74324,84.2216,71.7064,46.59632,65.28239,72.04369,67.92549,61.49006,61.34327,52.10485,57.37907,73.30043,56.48084,47.28847,40.19757,47.21048,36.38832,69.9603,76.85097,55.84955,84.1592,78.11683,35.6109,72.58409,55.04029,31.45925,55.56474,50.26727,75.34713,63.79246,77.83876,64.57541,65.77994,45.34622,85.94041,65.12773,53.95986,52.74692,53.49964,48.90659,71.33409,89.12404,19.94566,39.97172,72.00118,23.39162,62.09006,67.86822,44.79938,55.47964,42.00741,8.19465,81.3857,37.36425,52.64154,79.85953,41.19894,65.42266,63.68595,60.99083,70.49845,41.5961,74.88076,44.72867,59.07049,64.71629,67.52152,61.18447,71.65448,81.38124,5.66595,81.83188,25.40595,52.65218,54.3959,59.29197,57.77031,42.21033,73.08639,60.93185,52.81723,77.73293,2.31566,83.49242
c__Bacteroidia,11.07268,0,8.64386,15.06025,8.17186,6.44836,6.43212,21.3401,1.12973,0.26689,32.09286,7.71439,26.93203,23.99572,1.88717,3.56535,0.55519,4.37695,13.71621,11.14425,25.26533,1.82348,0,20.90603,16.60258,28.41596,12.82577,11.33633,2.84019,12.27691,17.85789,5.84486,9.43867,9.09764,23.6691,6.28331,37.52221,19.44024,6.92088,7.45499,0.47461,9.31994,30.87879,9.2499,23.05422,8.63186,15.82382,27.96017,3.15913,12.79469,15.51223,8.46872,0.18768,12.91747,23.40076,4.449,5.46225,15.55908,7.76596,25.51305,7.18021,8.03096,0,0.5337,0.00809,9.07544,16.02496,15.55945,8.64734,4.43885,20.92252,32.78289,32.46728,23.17492,8.66152,3.13456,18.92366,13.22277,14.74047,15.625,43.37772,11.737,8.7258,1.53677,7.77835,7.0628,2.2599,8.6044,21.01882,3.82405,5.62349,9.29363,10.58762,3.60474,6.32217,14.66783,14.89738,18.46146,4.32153,7.72409,19.59639,1.75053,15.63309,17.05648,9.1954,18.7496,2.00985,6.51063,49.10786,3.47218,18.37035,28.08155,31.70709,5.63749,21.89614,9.06327,10.58544,10.01299,3.53184,5.73372,12.14267,6.44712,17.79965,8.01933,3.51624,13.95541,16.20994,2.63341,8.75348,21.91163,26.54403,21.10679,6.66054,10.31379,9.95257,0,25.28273,7.35846,54.93662,6.26195,1.26811,5.57249,9.19727,0.12669,40.21675,9.84629,12.84844,12.07558,31.50467,16.28064,7.19711,16.30982,13.49139,10.33027,11.63245,31.50415,0,13.71224,13.71009,38.16336,2.71765,32.05066,13.43852,0,57.67426,36.24023,19.62486,0.9248,7.6128,10.32121,28.55943,6.84982,28.84323,7.02807,2.42882,12.85502,7.68693,0,30.05231,13.73899,10.24364,9.57098,2.82427,12.02055,0.65712,32.07502,14.22704,5.56915,20.52739,0.8246,9.08989,5.32598,76.1491,0.72352,31.41491,8.25319,11.08726,12.10395,3.68282,20.33112,0.04829,3.55876,19.76693,15.51325,0,4.68502
c__Actinomycetia,2.30051,0.02935,2.10522,0.89356,35.61621,17.9636,4.80767,21.45557,0.02029,68.9156,1.07376,22.74452,0.45055,1.25422,8.23551,17.84307,12.14619,0.15429,3.68452,13.7855,4.39932,7.66515,0.0146,1.51754,0,0,8.0462,3.16627,4.51737,7.74557,4.06747,7.54305,15.43831,4.83747,0.58385,3.29275,13.65575,3.05855,1.01877,9.38724,30.24136,1.12448,0.13644,11.56165,0.38886,0.08749,1.17368,19.4256,0,13.27734,13.91873,5.97547,4.67157,9.0331,6.49744,1.40283,15.06137,7.57985,0.47402,28.74766,0.89331,5.23474,0,0.00356,11.4288,0.53349,0.12529,2.79575,23.87983,16.71692,0.12807,0.62565,0,3.10803,0.80067,12.22849,0.95724,0.02506,3.18083,1.2478,0,21.38149,6.61351,15.79522,9.68114,0.02332,0.00964,0.75083,6.94105,7.99181,1.37295,5.40804,0.81627,19.1649,1.75196,12.486,9.31344,0.19504,2.62405,11.19603,6.10525,2.26973,0.00128,4.9593,12.76045,6.56134,17.12435,0.87227,2.53952,14.82675,14.00361,15.25337,0.91334,2.87542,7.59563,5.73518,1.24876,4.61978,9.09624,0.17564,1.82764,10.33911,1.48609,1.48106,0.13673,5.92656,2.08017,13.04728,6.32762,1.24408,4.30847,0.50803,7.87033,4.78352,5.38216,0.3727,20.53305,15.42924,0.82199,3.40668,0.82404,5.47806,1.14228,6.19723,0.19947,5.88861,8.51807,45.41777,4.93445,0.07823,5.297,0,0.06294,12.17934,5.42503,7.89892,4.46735,6.00451,15.58122,0.17905,23.47331,1.85756,9.91809,0.02768,0.11533,0.50338,0,2.36747,9.26325,0.29916,10.14202,14.74128,10.55555,18.05539,0.90747,33.6244,15.3699,0.03656,10.88872,0.05938,12.77227,19.28984,0.37377,18.00991,1.77535,1.68064,13.71269,6.65554,0.16219,16.63996,5.27422,3.52286,4.73985,0.56303,1.24137,21.68981,23.01002,9.33079,9.05416,1.03254,0.0886,0,7.29332,0,12.13996,0.35608
