Abundance,1000IBD00135,1000IBD00599,1000IBD00046,1000IBD00556,1000IBD00269,1000IBD00563,1000IBD00689,1000IBD00613,1000IBD00680,1000IBD00060,1000IBD00407,1000IBD00610,1000IBD00132,1000IBD00670,1000IBD00565,1000IBD00682,1000IBD00017,1000IBD00256,1000IBD00577,1000IBD00387,1000IBD00053,1000IBD00645,1000IBD00121
k__Bacteria,100.0,100.0,100.0,99.95135,100.0,100.0,99.94535,100.0,98.87322,100.0,94.51879,100.0,99.50948,100.0,100.0,99.33184,100.0,100.0,99.62448,100.0,100.0,100.0,100.0
p__Firmicutes,71.68771,92.41835,42.45514,70.70378,41.85351,72.2767,60.82604,78.03058,70.3811,71.80327,53.89022,73.55526,71.96138,46.87327,94.08064,65.45392,54.58564,86.47829,77.44674,82.00675,56.54597,43.09122,66.98812
p__Bacteroidetes,20.24471,0.76648,46.79906,11.36107,7.63404,21.74687,17.66513,11.26375,17.33721,15.54559,16.09423,8.27022,18.97296,35.04044,3.03287,27.3185,4.38787,6.77096,10.52225,10.5246,14.14457,42.47896,13.95013
p__Actinobacteria,7.61691,5.22926,10.35263,16.6999,50.51245,5.633,17.19835,10.45113,10.22333,12.61887,11.31808,15.94074,5.50545,17.98904,1.74345,5.14162,40.95867,3.57273,10.44288,7.0497,27.52942,13.14644,17.74293
p__Proteobacteria,0.45067,0.51322,0.38353,1.12741,0,0.34343,0.79637,0.2536,0.88744,0.03227,2.3542,2.23378,3.06968,0.09724,0.15094,1.19033,0.06783,1.20101,0.46272,0.29155,0.44504,1.28338,0.48281
c__Clostridia,64.32625,76.76382,39.4685,62.4856,33.672,63.54954,44.43048,66.63326,62.24169,67.85864,28.82484,65.83378,66.81945,42.79096,70.95837,51.68338,49.76114,76.64333,70.09842,66.33595,47.23651,34.84326,48.49747
c__Bacteroidia,20.24471,0.76648,39.93869,11.32725,7.63404,21.74687,15.98374,10.47347,14.45159,15.54559,15.75694,8.27022,18.88388,28.0232,3.03287,26.82847,4.38787,6.67254,9.30903,10.48955,14.14457,42.47896,12.76908
c__Actinomycetia,5.27439,3.48702,7.67886,11.6214,21.58017,2.71851,4.57222,6.95112,6.55208,10.88261,6.39186,10.72298,3.93945,13.91953,0.18823,0.62393,32.54406,0.93068,6.94248,1.81671,25.55731,12.54144,12.94181
c__Bacilli,4.07998,6.44555,0.06998,2.1594,3.72016,0.08537,3.12703,1.63969,1.91659,0.52529,4.08003,0.96985,0.74493,0.02556,1.09247,1.61075,2.49401,0.19609,1.50491,6.42582,3.92102,0.36924,1.67135
c__Coriobacteriia,2.34251,1.74224,2.67376,5.0785,28.93228,2.91449,11.26651,3.26098,3.10675,1.73626,4.27974,5.21776,1.4066,4.06951,1.55522,3.9028,8.41461,2.64205,3.5004,4.4758,1.97211,0.605,3.31678
c__Erysipelotrichia,1.52173,0.087,0.51442,0.35112,0.39205,0.71009,5.10898,1.50269,3.19353,0.38486,3.24985,0.30254,0.34298,1.0238,1.63952,5.54051,0.6444,2.20401,0.19868,1.0186,1.50381,0.38363,0.06482
c__Negativicutes,0.94781,1.12881,1.69497,2.86595,0.71435,2.78749,0.70625,1.79411,1.07208,1.19848,2.96075,5.93753,0.70531,0.7507,10.26186,2.14819,1.55686,2.55881,2.07416,7.14354,2.82261,7.49509,4.95257
c__CFGB3070,0.27533,0,0.05634,0,0,0,0.07916,0,0.00501,0,0.0204,0,0.04117,0.04008,0.95834,0,0,0.84674,0,0.35654,0,0,0.03282
c__Betaproteobacteria,0.19842,0.44659,0.0879,0.85593,0,0.34343,0.01742,0.23622,0.1842,0,0.27156,2.03709,0.17993,0.01461,0.04693,0.5977,0.06783,0.86096,0.08382,0.11527,0.29149,0.65238,0.16471
