Abundance,1000IBD00384,1000IBD00593,1000IBD00198,1000IBD00476,1000IBD00087,1000IBD00560,1000IBD00590,1000IBD00197,1000IBD00700,1000IBD00667,1000IBD00438,1000IBD00230,1000IBD00715,1000IBD00708,1000IBD00236,1000IBD00322,1000IBD00048,1000IBD00216,1000IBD00698,1000IBD00597,1000IBD00720,1000IBD00076,1000IBD00232,1000IBD00662,1000IBD00361,1000IBD00672,1000IBD00074,1000IBD00084,1000IBD00611,1000IBD00612,1000IBD00174,1000IBD00154,1000IBD00249,1000IBD00157,1000IBD00349,1000IBD00250,1000IBD00588,1000IBD00149,1000IBD00371,1000IBD00705,1000IBD00394,1000IBD00001,1000IBD00480,1000IBD00313,1000IBD00691,1000IBD00037,1000IBD00025,1000IBD00393,1000IBD00497,1000IBD00088,1000IBD00137,1000IBD00177,1000IBD01330,1000IBD00487,1000IBD00004,1000IBD00531,1000IBD00208,1000IBD00976,1000IBD00375,1000IBD00134,1000IBD00628,1000IBD00453,1000IBD00327,1000IBD00193,1000IBD00675,1000IBD00358,1000IBD00511,1000IBD01011,1000IBD00467,1000IBD00370,1000IBD00683,1000IBD00078,1000IBD00470,1000IBD00529,1000IBD00172,1000IBD00546,1000IBD00490,1000IBD00235,1000IBD00171,1000IBD00450,1000IBD00196,1000IBD00586,1000IBD00252,1000IBD00710,1000IBD00365,1000IBD00616,1000IBD00579,1000IBD00067,1000IBD00673,1000IBD00184,1000IBD00167,1000IBD00237,1000IBD00389,1000IBD00049,1000IBD00031,1000IBD00266,1000IBD00541,1000IBD00427,1000IBD00426,1000IBD00653,1000IBD00539,1000IBD00403,1000IBD00239,1000IBD00722,1000IBD00058,1000IBD00428,1000IBD00502,1000IBD00639,1000IBD00095,1000IBD00606,1000IBD00206,1000IBD00341,1000IBD00379,1000IBD00347,1000IBD01328,1000IBD00146,1000IBD00640,1000IBD00431,1000IBD00444,1000IBD00412,1000IBD00526,1000IBD00475,1000IBD00122,1000IBD00099,1000IBD00433,1000IBD00693
k__Bacteria,100.0,99.07866,97.85021,98.88691,96.81456,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.88638,100.0,100.0,100.0,100.0,100.0,100.0,99.92369,89.81201,100.0,100.0,100.0,100.0,100.0,96.82122,100.0,100.0,99.944,100.0,100.0,100.0,99.27688,98.99408,96.47595,100.0,100.0,100.0,100.0,100.0,99.51742,100.0,100.0,99.92163,99.97076,100.0,100.0,100.0,99.97767,100.0,100.0,100.0,100.0,100.0,94.84546,100.0,100.0,100.0,93.3551,100.0,99.96456,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.93717,100.0,100.0,100.0,100.0,100.0,100.0,99.97791,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.62771,97.92705,100.0,100.0,100.0,100.0,100.0,97.82363,99.11695,100.0,100.0,100.0,99.62484,99.94413,100.0,100.0,100.0,100.0,97.39033,100.0,100.0,98.58455,100.0,100.0,100.0,100.0,99.5983,100.0,99.57507,100.0,100.0,100.0,100.0,100.0,96.30887,99.98115,100.0
p__Firmicutes,59.84446,56.6652,62.22126,66.37998,63.88384,80.17772,72.36291,93.66106,72.6424,88.62377,71.46318,69.98075,67.57835,62.82792,85.03832,58.97346,72.92543,73.64279,77.85069,69.52568,82.78471,59.65275,87.76281,78.49855,74.06493,70.30797,75.42712,63.32079,74.02,73.58898,81.095,71.31299,78.71417,47.81821,61.99082,62.78748,73.66427,54.35238,71.90572,68.43525,82.55573,58.58335,65.74329,53.07958,61.38879,72.16093,67.53353,79.35956,73.56784,61.06734,75.66795,87.02879,78.9701,88.22796,63.58509,80.3772,64.05574,58.02511,60.54647,70.50496,43.12276,59.61907,76.48573,83.08729,93.85216,77.77338,75.07597,85.9428,41.50035,69.16749,64.82764,71.13306,68.02054,67.51338,52.92756,63.57547,62.51479,51.66685,63.2664,75.7563,63.31318,82.64393,74.97323,69.72095,67.76767,75.68654,68.88478,31.09927,55.48798,67.35809,67.49842,52.62364,70.07898,73.89609,78.03866,51.69774,83.18886,71.57232,65.13319,83.51646,67.04472,63.41745,74.87539,68.29472,66.10783,67.8865,63.1749,59.23075,56.03693,65.00406,69.00919,55.20957,88.05124,70.49378,31.14904,72.98785,72.91186,70.66649,68.22786,71.79074,62.39131,61.95646,63.33415,66.93452,52.43091,72.18351
p__Actinobacteria,23.06235,40.35672,16.42387,7.1225,16.58206,9.08137,24.33078,5.71518,6.47421,10.00711,13.40281,22.92668,29.75079,10.23068,6.15697,7.1383,14.40661,21.70504,18.00462,14.20303,7.37635,17.98603,8.7797,12.05942,6.21715,8.69628,14.83704,16.75662,2.72286,3.12246,15.23531,21.12779,13.13042,23.66396,14.67532,32.93916,14.42271,44.06363,10.11645,5.79196,5.96839,27.66218,10.23961,18.97528,27.50697,9.86923,26.53919,9.69746,17.51995,26.60788,8.33792,9.91959,16.62031,1.33979,6.14566,3.75265,6.6166,38.54561,26.12433,8.44337,20.19348,19.35075,4.38644,7.42467,4.78843,8.09273,11.69631,11.21433,34.22173,14.17632,15.21199,17.04701,6.28367,11.82505,29.83544,12.01958,28.71888,12.95889,1.66326,13.1517,19.84423,2.42779,14.72325,22.68258,17.88492,4.94907,16.56313,54.92822,13.96707,16.24838,11.12974,28.68296,16.79794,15.84972,6.38711,37.48091,4.54153,5.94273,34.82698,14.55574,18.97066,22.50115,1.65276,9.23217,18.98255,9.96987,26.1828,23.65567,21.9804,15.91029,8.18533,28.87051,7.00575,15.37334,2.93325,12.00367,8.01209,12.18889,20.17434,14.02474,22.33956,33.40308,20.05014,5.85924,28.21852,17.57975
p__Bacteroidetes,15.51606,1.4376,10.8588,10.59854,11.20764,8.7195,3.23028,0.29948,20.49012,1.24297,13.95811,3.02451,2.37073,25.38033,7.69546,21.41861,12.25185,2.27737,2.99319,15.47008,9.26055,8.9411,3.07777,8.34668,18.71407,19.96328,9.66186,14.98029,22.44758,21.92558,3.35774,7.44695,7.4826,28.05711,18.96777,3.23853,6.49415,1.37032,15.21463,25.34414,11.13354,13.19898,21.07961,27.04108,10.80805,17.10454,5.66899,6.89671,7.36436,11.62648,15.64046,2.73957,2.46955,0,29.11473,14.17286,11.48713,3.24444,12.61321,19.09645,26.35583,19.01597,18.705,9.33838,1.02376,13.18763,10.50452,2.43566,21.02131,14.0134,15.68508,11.46081,24.29273,18.03096,16.70545,21.10829,8.10613,34.47752,31.78745,8.21967,14.70021,14.56442,10.06589,6.80212,13.64552,18.72466,13.33828,13.27457,29.8451,14.52864,18.8906,17.67501,8.20363,10.24013,12.33454,10.15763,6.9384,14.6254,0.00584,1.9278,13.84831,12.21577,19.5356,18.12915,14.24004,20.96201,10.10353,13.4645,15.81523,17.3373,17.72562,15.33156,4.74905,13.83283,64.51203,10.36635,16.06346,15.93013,11.21294,12.99721,15.00284,3.7401,15.71532,18.31579,14.40097,9.817
p__Bacteria_unclassified,1.12687,0,0.00449,0,0.53159,0,0,0.28242,0,0,0,0.34643,0.08818,0,0,1.41571,0,1.44628,1.03308,0,0,0,0,0,0,0,0,0.0439,0,0,0,0,0,0,0,0,0.09825,0,0,0,0,0,0.30274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0,0.00999,0,0.18208,0,0,0.71122,0,0,0.78649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02915,0,0,0,0,0.25112,0,0,0.01663,0,0,0,0.63471,0,0.06455,0,0.17711,0,0,0,0,0,0,0,0,0,1.6594,0.1962,0.02814,0.01024,0,0,0,0.04063,0.31442,0.08715,0
p__Proteobacteria,0.44586,0.17182,1.1812,4.82676,0.18445,2.02141,0.07603,0.04186,0.39327,0.12616,1.17589,0.18283,0.21194,0.24976,0.88317,1.27383,0.37938,0.92851,0.10983,0.8012,0.47489,0.43214,0.36011,0.47333,1.00386,1.03247,0.07398,1.15492,0.80957,1.36298,0.25595,0.11226,0.56867,0.46072,0.85028,0.02891,1.79466,0.21367,2.76319,0.42865,0.2825,0.55549,1.425,0.90406,0.28042,0.72495,0.14779,1.20905,1.54785,0.6983,0.33134,0.31205,1.94004,5.68573,1.15452,1.55332,8.28303,0.18484,0.53351,1.95522,3.66323,2.01421,0.38739,0.08128,0.33566,0.93627,2.66134,0.22513,3.25662,2.64279,0.89499,0.35912,0.94704,0.5305,0.41448,3.29666,0.52904,0.81119,3.28289,1.55661,0.18055,0.36385,0.23763,0.51822,0.70189,0.63733,1.21381,0.69795,0.69985,1.46344,0.40642,0.98199,4.13805,0.01406,0.15102,0.66372,2.68136,2.56503,0.034,0,0.11307,0.45743,3.02164,1.25294,0.66958,0.77928,0.52624,0.82154,6.15079,1.74835,1.8099,0.58836,0.07612,0.30004,1.40569,0.19205,2.80646,0.76142,0.37462,1.1873,0.2663,0.90035,0.85976,0.74965,4.8436,0.35872
p__Lentisphaerae,0.0044,0,0,0.09814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Clostridia,53.62094,52.58726,41.95658,44.26729,47.02686,56.41414,55.73632,82.93306,65.45161,79.22583,65.2104,49.30466,56.03803,41.9965,75.70172,43.13875,68.04947,66.28165,67.93452,40.17823,66.35416,45.08469,78.00026,61.88947,66.38022,66.69104,64.29336,45.09785,66.56416,67.34311,59.77489,60.33838,67.11482,33.22185,51.56321,43.77252,47.41517,49.7554,64.15054,33.16197,79.54114,50.24878,54.97966,36.56098,53.02511,57.76698,61.59684,64.99259,59.52314,53.70353,42.67404,80.31892,47.44408,76.76915,55.67627,69.4393,34.39848,45.52424,54.65342,65.29918,27.26826,51.56882,67.06074,43.57789,84.28289,67.18975,65.38546,69.54492,33.79294,66.65821,53.91712,51.63684,57.38991,57.61801,35.56812,55.84208,50.30498,40.68848,39.70298,58.87253,50.54969,60.22166,66.43562,59.84749,63.54018,66.54007,47.11389,27.6437,50.21408,40.87939,49.35475,47.6603,50.20244,50.19222,73.18417,36.37066,70.01386,43.92436,53.66988,66.85491,58.55539,52.84066,70.04687,54.35141,58.80409,64.74859,60.12918,39.23585,33.58613,62.20294,44.83466,39.21142,79.33546,44.46416,24.49708,62.07601,60.64277,58.87283,57.65927,59.36865,50.31049,45.99599,48.9687,52.09708,47.07018,66.36091
c__Actinomycetia,17.66014,28.15142,13.44744,3.7074,10.14288,3.66907,18.50782,4.19424,5.59747,6.96464,10.2448,12.65232,16.04782,6.84984,5.72298,3.35921,9.08213,16.45393,14.06915,2.58684,4.74101,14.20654,6.14642,3.99891,5.15837,6.4264,4.66942,8.18117,2.47737,0.0272,10.10687,17.35798,4.38308,18.71878,9.65006,16.53903,6.21307,40.66952,6.32377,4.65905,1.7745,22.2767,7.03078,12.81037,17.81673,4.13418,23.80941,4.43377,10.79031,21.19298,3.42788,5.20351,8.64123,0.0297,2.86982,1.80827,0,33.74619,20.19889,6.12647,4.20526,17.3576,2.18727,2.75478,0.15954,3.98302,8.60963,7.4855,25.36936,10.83918,10.62653,12.36818,2.36862,6.75308,24.32041,6.87431,26.48922,8.08875,0.92753,2.95671,14.37009,2.11733,10.75659,18.52039,12.23518,2.78302,11.50883,50.87492,12.78742,10.66345,6.46686,24.89579,11.24294,11.12263,5.86224,27.02782,3.46627,1.78244,24.01617,6.29621,13.9177,18.12103,0.07837,5.41526,12.19778,4.34571,23.7155,18.65781,17.55373,14.11067,5.69782,22.86997,6.39234,14.08698,1.8154,1.92842,2.98456,9.71852,11.8241,10.53009,12.18879,26.28627,5.70966,1.8692,21.11569,12.79644
c__Bacteroidia,15.51606,1.4376,8.52593,9.22479,9.95089,8.22593,2.04678,0.29948,20.49012,1.24297,13.95811,3.02451,2.37073,21.30263,7.69546,21.41861,12.25185,1.9493,2.99319,15.47008,8.7314,8.88816,3.07777,8.33544,18.71407,19.3397,9.65164,13.24207,22.44758,21.92558,3.35774,6.84308,7.47129,27.59911,18.3551,3.16219,4.99309,1.32287,15.21463,25.34414,11.13354,13.13358,19.62246,27.04108,10.14916,17.10454,5.66899,6.89671,7.35923,11.62648,15.33095,2.73957,1.22085,0,29.11473,12.43399,10.76525,3.24444,11.12598,19.09645,24.69712,18.36879,17.19575,6.21972,1.02376,12.8668,10.50452,2.43566,20.96401,14.0134,15.51419,11.46081,24.29273,17.14181,16.70545,21.10829,8.10613,34.47752,31.78745,7.67996,14.54206,14.56442,10.06589,6.80212,13.64552,18.72466,13.33828,13.27457,29.8451,13.15184,15.10863,17.67501,8.03906,10.24013,12.33454,10.15763,6.17404,13.91752,0.00584,1.9278,13.84831,9.74136,19.5356,17.04625,14.24004,20.86432,10.10353,12.64281,14.80046,17.3373,15.2076,15.26875,4.74905,13.80714,64.51203,10.36635,7.10496,8.23159,11.21294,12.61328,14.75618,2.54041,15.6568,8.34235,7.82348,9.817
