Abundance,SAMN00045227,SAMN00083009,SAMN00037274,SAMN00040800,SAMN00036649,SAMN00039351,SAMN00034694,SAMN00088343,SAMN00041005,SAMN00037971,SAMN00042702,SAMN00036351,SAMN00032571,SAMN00068173,SAMN00081451,SAMN00038321,SAMN00070934,SAMN00038409,SAMN00043931,SAMN00045483,SAMN00038172,SAMN00032739,SAMN00043289,SAMN00032521,SAMN00037735,SAMN00087897,SAMN00067053,SAMN00041128,SAMN00084528,SAMN00070004,SAMN00037108,SAMN00067023,SAMN00040903,SAMN00043166,SAMN00045293,SAMN00065013,SAMN00039645,SAMN00038465,SAMN00038525,SAMN00077726,SAMN00036435,SAMN00044744,SAMN00045350,SAMN00044394,SAMN00038651,SAMN00041546,SAMN00039569,SAMN00068879,SAMN00071040,SAMN00074599,SAMN00070761,SAMN00069721,SAMN00037236,SAMN00032966,SAMN00040035,SAMN00070431,SAMN00077487,SAMN00040286,SAMN00045047,SAMN00038207,SAMN00041451,SAMN00034376,SAMN00085565,SAMN00033491,SAMN00043355,SAMN00045189,SAMN00034905,SAMN00042087,SAMN00039874,SAMN00032708,SAMN00038919,SAMN00040248,SAMN00037553,SAMN00040599,SAMN00045132,SAMN00069968,SAMN00037178,SAMN00035018,SAMN00036283,SAMN00036482,SAMN00036408,SAMN00037000,SAMN00032498,SAMN00032842,SAMN00036796,SAMN00073223,SAMN00063010,SAMN00045843,SAMN00076528,SAMN00037713,SAMN00044564,SAMN00037072,SAMN00035831,SAMN00034433,SAMN00038739,SAMN00035453,SAMN00072706,SAMN00076268,SAMN00032889,SAMN00074965,SAMN00035677,SAMN00072036,SAMN00083300,SAMN00034120,SAMN00037485,SAMN00032676,SAMN00041186,SAMN00035505,SAMN00078779,SAMN00069909,SAMN00033023,SAMN00039531,SAMN00073407,SAMN00036587,SAMN00035169,SAMN00035531,SAMN00043827,SAMN00037803,SAMN00039793,SAMN00073344,SAMN00040819,SAMN00065722,SAMN00083581,SAMN00039039,SAMN00070308,SAMN00034739,SAMN00063420,SAMN00062293,SAMN00036197,SAMN00069173,SAMN00037313,SAMN00063710,SAMN00044801,SAMN00036881,SAMN00040615,SAMN00062637,SAMN00040202,SAMN00040379,SAMN00037421,SAMN00040485
k__Bacteria,100.0,100.0,100.0,99.8483,99.90074,100.0,99.70381,100.0,99.9876,100.0,100.0,100.0,99.96223,100.0,99.94481,100.0,99.99599,100.0,100.0,99.9914,100.0,99.96207,100.0,100.0,100.0,100.0,99.99651,99.95152,99.45086,100.0,99.98896,99.98247,99.79426,99.93674,99.99836,100.0,99.94303,100.0,100.0,100.0,99.99505,99.98261,99.83194,100.0,100.0,99.93747,100.0,99.26979,99.99738,100.0,100.0,100.0,99.99493,99.96414,99.93683,99.94545,100.0,99.86868,100.0,100.0,99.94298,100.0,100.0,100.0,100.0,100.0,99.93545,99.90829,100.0,99.99006,100.0,100.0,99.99062,100.0,99.88844,99.94579,100.0,100.0,100.0,100.0,99.98324,99.9388,100.0,100.0,100.0,100.0,99.94929,99.98948,100.0,100.0,100.0,99.99654,99.99904,100.0,99.93557,99.50919,99.93612,99.98625,100.0,100.0,100.0,100.0,99.90897,100.0,100.0,99.96959,100.0,99.66075,100.0,100.0,99.9592,99.98706,100.0,100.0,99.9907,100.0,99.98826,100.0,100.0,99.96541,100.0,99.99775,99.99586,99.8704,100.0,100.0,99.95733,100.0,99.60424,99.97505,99.99486,99.99146,100.0,99.95683,100.0,99.95989,99.97404,99.97011,99.84243,99.99912
p__Bacteroidetes,76.43653,19.57891,93.08766,36.92993,41.51329,96.9212,36.30349,74.79784,87.44691,90.77571,72.73354,15.68051,29.58096,72.91125,80.64249,72.02718,63.85686,75.06135,83.10625,50.24834,75.76951,15.49873,55.5849,63.91485,6.52849,81.53843,86.06656,80.34719,53.4442,65.93827,91.87615,51.12208,67.96186,78.68585,75.50574,85.42844,55.99134,94.70536,77.45393,82.48633,29.39752,68.07255,29.22199,93.87498,87.47731,38.62911,55.67105,56.3635,52.83399,89.82917,56.06833,82.03109,83.79222,74.59744,74.70386,30.8737,83.59905,39.93977,83.76576,62.38667,58.23156,85.08874,64.5082,36.96375,79.03943,90.83605,59.93448,45.46465,56.03757,68.56977,88.13322,79.1151,22.78976,80.80458,34.91189,37.99077,85.08813,92.53301,36.22795,68.24686,82.8196,37.41573,57.95725,83.45865,55.12581,73.86031,84.60617,87.21218,76.67005,7.01861,82.58167,48.59897,74.0152,94.42192,61.35715,41.90806,53.91168,78.0317,87.90175,54.01095,41.44147,70.0082,43.28477,91.90769,91.16006,57.97964,75.57256,40.16594,90.01061,91.04658,53.76497,80.30785,77.19475,97.015,10.78879,56.45506,51.08247,2.92653,87.05255,66.4025,67.96789,88.56068,91.87371,76.84804,88.95649,87.37011,71.74415,82.52872,14.86191,50.23267,31.62746,79.7504,94.15753,53.64982,77.99109,14.55915,90.15193,52.37336,55.1834,87.9232
p__Firmicutes,16.19058,60.18978,3.87678,59.69672,53.76756,2.07504,60.15634,22.05671,8.55842,5.64007,20.72511,63.31407,59.09715,21.30099,15.97414,18.36003,33.77006,23.56364,9.23089,49.07503,23.93951,76.64065,38.51916,26.22351,89.93835,16.70366,11.81665,17.53999,33.03771,26.83207,6.70067,46.50168,27.92173,16.71959,17.42069,12.75395,39.35299,4.48859,15.15316,12.32937,51.47265,25.10262,67.0212,5.06465,10.71264,54.29693,39.18175,38.01105,40.56055,8.65559,36.01407,16.40664,11.65277,19.60315,22.54464,59.71332,15.03647,56.47655,15.6154,36.49057,35.52047,5.40354,34.03413,57.61908,19.53407,5.21769,34.46561,43.43989,32.28502,25.1995,10.09517,18.08468,26.92724,10.7443,64.40564,50.94121,11.49907,4.22909,52.87052,27.11227,13.18742,48.49838,25.6145,15.45714,41.38504,23.4335,15.02585,12.25733,14.46296,91.36619,14.24146,48.4399,24.37762,2.89811,32.65657,53.70382,40.23296,20.44982,10.82706,38.32111,51.05517,26.66991,48.84809,6.13364,7.2409,29.66481,21.14104,56.82501,9.19974,8.14485,41.29945,15.02943,21.17375,2.43936,86.07272,43.36459,29.55421,1.49069,9.44348,32.33841,28.12651,7.84017,6.37149,18.55052,5.57303,5.23835,25.1958,15.95965,64.60139,46.86082,27.5407,18.27851,4.73875,43.07657,20.52636,83.98573,8.72569,44.91707,40.20952,7.61471
p__Tenericutes,4.42664,0,0,1.19619,0,0,2.12424,0.4359,0,0,0.06062,0.02323,3.62591,0,0,0,0,0,0,0,0,0,1.59192,0,0,0,0.29104,0,8.22381,4.69541,0,0,1.14985,0,0,0,0,0,1.35271,0,0,0.41626,1.17597,0,0,0,0.00574,3.25732,3.76219,0,0,0.0059,0,0.00897,0,0,0,0,0,0,0.52934,0,0,0.08532,0.1109,0,2.64979,0,0,1.90106,0,0,0.14609,0,0,0,0,0,0,0,0,0.86237,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4347,0.02825,0,0,0,0,0,0,0,0,8.14572,0,0,0,0,2.69644,0,0,0,0,0,3.75045,0,0,0,0,0,0,0,0,0,0,0,1.09644,0,0.01073,0,0,0.40994,0,0,0,0.06888,1.44872,0
p__Actinobacteria,2.48228,0.26488,0.03458,0.13995,2.15668,0.18807,0.2244,0.16013,0.15307,1.00235,0.11907,1.02402,4.73788,0.32701,0.14774,4.17991,0.29627,0.26712,0.24131,0.60802,0.12185,7.42822,1.83381,3.1065,3.35801,0.37407,0.73286,0.82897,2.70835,0.15655,0.27336,0.80948,0.68718,1.50589,0.33228,0.14026,2.91782,0.13356,0.0927,0.42852,1.35569,1.3249,0.82936,0.06748,0.15873,2.89997,2.80856,0.14313,0.40387,0.00976,4.40307,0.81892,0.04656,4.70838,0.64134,2.23436,0.91223,1.43792,0.03232,0.04582,3.16361,0.22295,0.25557,4.06866,0.20335,0.09844,0.72815,5.17864,10.05527,0.62013,1.00962,0.36574,0.056,2.03353,0.17677,1.20562,0.02423,0.09372,0.80112,0.5027,0.05278,7.88608,4.49476,0.12953,1.12715,0.50306,0.02372,0.0626,0.36635,1.49741,0.14449,0.15153,0.05716,0.11326,2.37967,1.18688,2.22519,0.01964,0.10031,0.70452,0.97013,0.05588,0.70431,0.10486,0.10234,2.27431,2.39294,1.80613,0.23376,0.39498,0.1722,1.26966,0.21931,0.04727,2.71,0.12405,7.00522,0.10261,0.19473,0.1529,1.08557,0.80192,0.58355,0.09676,0.08265,0.05708,0.42541,0.30831,15.13116,1.14273,0.12074,0.71895,0.06455,0.33932,0.04266,0.16832,0.16125,0.59655,0.18917,0.02188
p__Proteobacteria,0.25572,18.84953,2.95709,1.65784,2.09421,0.81569,0.54752,2.19381,0.9842,2.58187,5.4051,17.75376,2.27311,5.43895,0.03746,3.37701,1.90335,1.08378,0.09195,0.06001,0.16914,0.08211,1.49923,4.89122,0.17034,0.74851,1.08368,1.20108,0.90892,1.60565,1.00926,1.4607,1.73428,1.81516,0.36871,1.54477,0.94026,0.5681,2.5732,4.49988,0.24354,4.67354,1.03571,0.31896,1.12137,0.30906,2.06436,0.41586,2.06866,1.50549,1.49971,0.7363,3.68895,1.01359,1.75875,6.99648,0.45226,1.96229,0.5294,1.07694,1.92844,9.28477,1.13372,0.86538,0.75275,3.84782,0.12255,4.89435,0.0423,3.35537,0.66864,2.35727,49.85589,4.09836,0.11488,7.2385,2.00183,2.82969,9.33875,3.62377,3.92343,5.06088,11.85498,0.61131,2.362,0.62383,0.29354,0.45737,8.50065,0.11536,2.69171,1.55942,1.25162,2.51725,2.75349,0.92559,2.67952,0.78881,1.17088,6.96168,6.15306,3.26601,0.98614,1.85166,1.41622,0.47181,0.31642,0.83088,0.55589,0.4136,0.60614,3.32113,1.2827,0.49837,0.39915,0.0563,3.77744,95.42642,3.30924,1.07161,0.34687,2.21458,1.16711,4.25729,3.64183,7.32623,2.24216,1.20332,0.09587,1.594,40.21168,1.23734,1.03837,1.33068,1.43631,0.6187,0.81454,1.44782,2.34658,4.3551
p__Verrucomicrobia,0.20825,1.10481,0,0.22632,0,0,0.23294,0.30248,2.8281,0,0.22109,2.1424,0.50757,0,3.09049,1.62371,0.14871,0.02032,7.32368,0,0,0.30075,0.2676,0.19896,0,0.62037,0.0014,0,0.80532,0.03364,0.12952,0.00936,0.29877,1.02902,0.84436,0.00103,0,0.1044,0.02558,0,17.51667,0.21107,0.19809,0,0,3.78628,0.2638,1.07835,0.35702,0,1.97274,0,0.81443,0,0.28743,0,0,0,0,0,0.42858,0,0,0.15756,0.31832,0,2.01442,0.67513,1.48555,0.01505,0.07044,0,0.21054,0.01345,0.26521,0.18546,0,0,0.03583,0.15912,0,0.00701,0.07852,0.34336,0,1.56996,0,0,0,0,0.01698,1.24672,0.29744,0.04946,0.76635,0.1871,0.2546,0.01715,0,0,0.08713,0,6.0783,0,0.03871,1.36928,0.57705,0,0,0,1.36563,0.05899,0,0,0.0097,0,0.00712,0.05114,0,0,2.45777,0,0,0.03228,0.92814,0,0.34981,0,3.72747,0.01564,0.27739,0,0,1.1137,0,0.56598,0.12063,0.43275,0.36233,0
c__Bacteroidia,75.36388,19.57891,93.08766,36.37782,40.14129,96.9212,33.61352,74.7778,87.44691,90.7647,71.51381,15.68051,28.6614,59.0812,80.64138,72.02718,63.85686,75.06135,83.10625,50.24522,75.75339,15.42912,51.37061,62.23162,6.52849,81.53843,84.30105,78.89945,53.4442,65.88863,91.87615,51.12208,67.96186,53.47886,75.50574,85.42715,55.99134,94.70536,77.44268,82.48633,29.39752,68.06935,29.15066,93.87498,87.47731,38.55258,53.16792,56.36278,51.79088,89.82917,56.06812,81.76563,83.79222,70.40608,74.70386,26.8786,83.59905,38.15314,83.76576,62.38667,55.6877,85.08874,64.5082,36.25279,72.60314,90.83605,53.77328,45.46465,55.50089,68.55189,79.26117,79.1151,22.78976,80.80458,26.24502,30.21455,85.08813,92.42525,36.22795,68.24686,82.8196,34.51525,53.94319,82.68979,55.12581,73.86031,84.60585,87.08549,76.6676,7.01861,82.58167,48.59897,74.0152,94.42192,61.18022,41.90806,52.36315,78.0317,87.90175,54.01095,41.44147,69.36106,43.28034,91.90769,91.16006,57.97964,75.28422,40.16594,90.00626,91.04658,53.7637,80.30545,77.19311,97.00118,8.57799,56.45506,49.45077,2.78084,87.05175,66.03662,67.96789,87.83665,91.32876,76.76062,88.95568,87.36859,71.74415,82.52872,14.86191,50.23267,31.00022,79.74621,94.15742,50.47341,77.99089,14.55767,90.1517,51.71947,52.31108,87.22268
c__Clostridia,12.39688,42.42864,3.36353,43.39199,46.51562,1.58613,35.57998,13.82241,7.2045,4.66074,16.50967,52.36256,29.9501,17.75048,11.22522,14.65422,26.05483,20.44911,6.81624,39.31809,21.19096,61.28663,24.49593,19.11826,87.08588,13.69524,6.88099,12.94637,28.00079,14.91944,6.2533,34.26859,20.11752,10.19991,15.85345,7.73842,27.66146,3.57616,9.86748,10.99242,47.29693,14.88826,41.09991,4.54894,9.73453,29.75755,34.51538,19.41125,24.77419,7.5614,28.08416,13.37044,10.27723,9.96388,19.23306,56.23835,13.78246,48.37521,4.14948,35.96334,25.25801,4.55962,5.20272,28.8463,12.94286,4.46255,12.38073,31.16245,15.06801,19.91798,6.9257,16.14067,15.78689,8.31488,18.51522,32.11278,9.49487,2.49914,44.42031,19.04358,11.21931,38.57233,18.08164,13.69924,34.34921,18.48216,11.00117,9.19322,9.08486,88.13399,8.35598,40.083,18.82082,1.81917,28.15091,38.79262,30.98213,14.41131,10.49448,30.08091,44.75001,24.4221,42.15384,1.95656,6.21019,13.13437,16.45131,46.59366,6.88896,4.58251,25.10172,13.23378,14.86223,1.77965,49.5334,41.63133,22.77155,0.97484,7.40879,26.90643,22.84411,5.37847,5.19212,14.34661,2.45848,3.63545,20.95817,14.83455,37.67281,31.64625,23.86961,11.00547,3.77513,29.22052,13.65054,73.20349,5.17722,32.30887,25.8607,6.37443
c__CFGB1787,4.42664,0,0,0.19877,0,0,2.12424,0.4359,0,0,0.06062,0,0,0,0,0,0,0,0,0,0,0,1.59157,0,0,0,0.12751,0,8.22381,4.69541,0,0,1.14985,0,0,0,0,0,0,0,0,0,1.17597,0,0,0,0.00574,3.25732,0,0,0,0.0059,0,0,0,0,0,0,0,0,0.52934,0,0,0.05179,0,0,2.64979,0,0,0,0,0,0.14609,0,0,0,0,0,0,0,0,0.84341,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4347,0,0,0,0,0,0,0,0,0,8.14572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09644,0,0.01073,0,0,0,0,0,0,0.06888,1.44872,0
c__Coriobacteriia,2.47944,0.18853,0.03432,0.10067,1.28622,0,0.04803,0.04885,0.06353,0.80171,0.11907,0.55649,1.43755,0.1109,0.14774,0.95201,0.16773,0.19045,0.22154,0.60754,0.05235,7.37588,0.56914,3.1065,0.56583,0.33721,0.73286,0.68306,2.70026,0.07857,0.10086,0.38908,0.68532,0.95213,0.06629,0.09646,2.83031,0.0325,0.0927,0.10018,1.29049,1.11425,0.29881,0.01415,0.09417,1.1331,1.66549,0.13711,0.02091,0.00511,4.29149,0.66882,0.00664,4.60965,0.61493,1.30132,0.91223,0.70726,0.00234,0.03083,2.31604,0.01245,0.1458,3.84859,0.13292,0.00533,0.71664,4.36528,9.29563,0.57114,0.9495,0.14294,0.04974,0.39441,0.17031,0.91289,0.02423,0.08628,0.75596,0.46916,0.04894,7.87994,0.06829,0.12953,0.50101,0.35728,0.02269,0.04461,0.28724,0.3559,0.02736,0.10656,0.03241,0.01419,2.07704,1.17873,1.65479,0.01964,0.06638,0.68143,0.93572,0.0359,0.37228,0.02604,0.08245,2.02966,2.09281,1.78871,0.0798,0.30804,0.16774,0.88403,0.18294,0.03501,2.53411,0.04545,1.31514,0.06357,0.151,0.1529,0.99334,0.72594,0.56756,0.08533,0.08108,0.03695,0.42293,0.30831,14.92898,0.4988,0.12074,0.18158,0.04092,0.10934,0.04266,0.12525,0.05159,0.49618,0.18917,0.02188
c__Bacilli,1.63558,8.22419,0.00143,3.80453,1.31737,0.00513,5.95072,5.10706,0.0137,0.00274,1.21931,0.46851,7.75708,0.00965,0.00191,0.5467,0.01132,0.01405,0.02446,0.52177,1.08683,7.48747,7.15993,1.15189,0.42632,0.10611,1.77575,0.07255,2.5921,6.5324,0.00414,5.50084,2.57063,1.30544,0.07868,1.03048,0.12894,0.00582,0.26809,0.01104,0.0678,0.7387,8.75633,0,0.02764,0.66103,1.04116,4.62969,12.37781,0.00509,0.37098,0.15335,0.05034,2.90068,0.05067,0.06991,0.03559,0.99694,0,0.00295,1.34679,0.04988,0.00809,17.35511,1.68975,0,0.18292,4.38737,0.90853,2.01942,1.0313,0.0059,3.20479,0.20469,0.00228,0.06805,0,0.69982,0.4675,1.01255,0.17798,3.73855,4.35951,0.38201,0.26823,0.02031,0.25491,0.42175,0.00523,0.66165,0.01171,1.3729,1.8852,0.00985,0.03724,8.37209,2.18759,0.00261,0,0.40683,0.49934,0,2.09542,0.01265,0,3.36991,0.34503,0.57125,0.00297,0.05216,2.44261,0.15664,0.24071,0,14.73453,0.08399,1.61741,0.1097,0.00035,0.32031,0.15278,0.00898,0.00711,1.12541,1.61956,0.74798,0.96029,0.00361,3.44711,7.12554,0.01526,0.12179,0.0513,6.07248,0.06495,2.31617,0.00299,5.29713,1.39238,0.75954
c__CFGB1670,1.07109,0,0,0.15628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313,0,0.06962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50251,0,0,0,0,0,0,0.11058,0,0,0,0,0,0,0.05012,0,0,0,0,0,0,0,0.53668,0,0,0,0,0,0,0,0,0.10242,0,0,0,0,0,0.76751,0,0,0,0,0,0,0,0,0,0,0.17611,0,0.46278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Negativicutes,0.62444,1.80581,0.2136,6.73321,0.43902,0.29572,3.72052,1.01223,0.60906,0.83469,1.53263,3.73053,0.84759,1.32954,0.51418,0.26017,1.10098,0.22902,1.91872,2.53069,0.30981,3.07258,1.11553,1.41033,1.45599,1.73909,2.86409,0.54409,0.35042,0.30987,0.25093,0.09133,1.0202,0.78869,0.80416,1.32661,3.26912,0.53874,1.56901,0.33561,1.67204,6.89705,2.59303,0.48013,0.79132,0.82606,2.38134,0.61065,0.87311,0.79831,1.34229,1.51474,0.52134,3.19328,0.15863,0.84605,0.87378,0.96298,11.3914,0.10767,0.08851,0.67055,28.49888,1.10154,2.59679,0.42379,6.07235,1.16349,15.55096,1.19146,0.46403,1.36655,0.00721,0.36452,6.14114,0.96679,0.29101,0.60313,5.44309,6.10997,0.37981,3.80784,1.37544,0.18586,3.64734,3.56296,0.19902,0.76968,4.23962,1.29764,5.53938,0.19603,0.94767,0.95412,1.46933,0.43956,1.90976,0.47453,0.17229,7.24436,2.80524,2.0393,0.28188,4.06483,0.32871,1.2797,0.17406,3.53287,1.39345,3.26552,0.38228,0.64671,0.20108,0.5126,2.54304,0.60418,0.25439,0.02947,1.0482,1.07825,0.39053,1.41436,0.17646,0.25933,1.42329,0.148,1.50931,0.49467,0.56653,0.1245,0.98244,4.51043,0.6357,3.92008,5.28645,0.55226,3.37434,2.27204,0.71611,0.0452
c__CFGB2831,0.44291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Firmicutes_unclassified,0.22204,0.25713,0.15744,0.39687,0.21637,0,0.02963,0.06784,0.01351,0,0.13947,0.33067,0.03274,1.4994,0.00546,0.24434,0.78214,0.04705,0,0.06625,0.2252,0.17105,0.15095,0.00669,0.01804,0.1604,0,0.85638,0.45904,0.01592,0.07466,0.15457,0.33785,0.34677,0.09033,0.47765,7.42359,0.06653,0.05125,0.26371,0,1.00195,0.14315,0,0.00365,0,0.08947,0.09756,0.77692,0,0.18944,0.48072,0.48836,0.01535,0.61892,0.15096,0,0.31127,0,0,0.78416,0,0,0.01809,0.07216,0,0.01631,0.47024,0.04131,0.32891,0.00585,0.2834,0.2877,0.71639,0.12031,0.27408,0.12252,0.07156,0.70467,0.37446,0.73649,0.23519,0.17956,0.1393,0.87637,0.00312,0.07699,0.03173,0.01596,0.01416,0,5.1017,0.18406,0,0.23891,0.29829,0.40919,0.83861,0,0.18517,1.41476,0.01691,0.07737,0,0.05255,0.17165,0.32486,0.08902,0.20484,0.05926,0.29312,0.51169,1.89808,0.00515,0.61085,0.17947,0.0241,0,0.00838,0.5724,0,0.01081,0.00105,0.16177,0.00238,0.00535,0.38909,0,0.05814,0.17267,0.5576,0.08318,0.00375,1.29795,0.06657,2.92579,0.02707,0.26174,0.42802,0.02419
