Abundance,SAMN00034067,SAMN00034187,SAMN00095348,SAMN00078079,SAMN00073582,SAMN00147413,SAMN00070035,SAMN00146239,SAMN00042371,SAMN00069411,SAMN00142559,SAMN00144714,SAMN00099612,SAMN00146563,SAMN00143723,SAMN00088832,SAMN00095035,SAMN00063676,SAMN00031604,SAMN00143208,SAMN00073658,SAMN00097954,SAMN00041840,SAMN00141929,SAMN00143579,SAMN00146869,SAMN00143093,SAMN00146305,SAMN00095238,SAMN00037655,SAMN00142107,SAMN00065537,SAMN00065748,SAMN00087096,SAMN00034856,SAMN00085245,SAMN00034316,SAMN00147641,SAMN00097897,SAMN00087461,SAMN00146662,SAMN00141722,SAMN00088016,SAMN00076282,SAMN00139730,SAMN00085508,SAMN00087719,SAMN00069905,SAMN00142287,SAMN00100025,SAMN00034857,SAMN00086130,SAMN00085131,SAMN00082542,SAMN00074361,SAMN00100110,SAMN00142815,SAMN00037656,SAMN00087669,SAMN00042437,SAMN00146983,SAMN00088586,SAMN00096542,SAMN00084837,SAMN00087920,SAMN00075542,SAMN00141816,SAMN00141720,SAMN00039134,SAMN00087361,SAMN00146030,SAMN00143754,SAMN00094410,SAMN00082513,SAMN00147938,SAMN00146356,SAMN00099936,SAMN00087253,SAMN00139709,SAMN00142398,SAMN00087502,SAMN00142634,SAMN00088409,SAMN00146029,SAMN00095165,SAMN00083997,SAMN00045881,SAMN00099822,SAMN00147136,SAMN00139862,SAMN00145981,SAMN00142997,SAMN00073365,SAMN00095092
k__Bacteria,99.98915,99.98228,99.99793,99.34888,99.99693,99.88683,100.0,100.0,100.0,99.99563,99.98486,100.0,100.0,99.97764,99.91803,100.0,99.96353,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96044,100.0,99.97276,100.0,100.0,100.0,99.96899,100.0,100.0,99.97317,100.0,100.0,99.97402,99.98638,100.0,100.0,100.0,100.0,99.9983,100.0,100.0,99.33086,100.0,99.99948,100.0,99.86802,100.0,100.0,99.99259,99.8213,100.0,100.0,99.93943,100.0,100.0,99.97258,99.96188,99.92719,100.0,100.0,100.0,100.0,99.91864,99.98542,99.98693,99.99824,99.82008,99.93933,100.0,99.99982,100.0,99.99869,99.97619,100.0,99.97775,99.99902,100.0,99.94825,99.97511,99.94245,99.99833,100.0,100.0,99.97635,100.0,100.0,100.0,100.0,99.95406,99.99415
p__Bacteroidetes,67.83925,67.03027,89.29043,48.63218,83.7143,21.9197,91.38495,90.8989,89.47756,73.05909,75.549,89.06679,91.29189,70.57218,50.16849,91.99935,67.18458,86.71645,61.11924,55.10839,86.39748,68.77185,96.84738,89.1442,65.72337,62.04291,85.0859,47.90043,65.33578,85.27148,55.14464,68.80577,87.97878,42.12587,34.3286,62.91298,65.72431,45.06058,70.72909,62.40599,71.11016,20.79751,69.39234,70.59405,85.3929,56.02453,87.9596,78.74873,85.46295,33.87361,44.33029,66.7555,82.5772,23.55233,75.09227,89.63992,68.35943,98.00831,52.07762,94.65523,68.55077,69.98282,86.01564,90.7633,82.91809,88.91605,61.57293,57.65688,53.54983,61.53118,51.18477,32.28085,57.15611,95.00602,43.92787,73.64897,46.07276,89.67836,61.3474,88.69083,82.82625,62.9427,68.77312,21.1288,39.37036,96.83249,65.44635,65.52498,60.90231,89.5181,54.81921,57.53212,30.84426,49.28404
p__Firmicutes,22.85331,25.38148,7.8139,37.58183,13.81209,53.38267,6.91558,8.04494,8.6612,22.92814,21.22716,9.32433,6.33289,21.44671,44.65968,4.61745,29.80609,7.4822,31.07663,40.28253,8.96451,29.39915,2.96595,8.7066,22.82022,28.26165,12.39955,39.49824,28.26033,1.62788,28.03668,26.98998,9.37257,40.383,42.19003,33.96179,30.33773,26.18192,22.99423,26.38078,23.63721,16.9787,21.50284,25.82971,13.40658,23.91302,9.92213,17.82036,12.26308,60.2457,49.61594,24.19467,15.53593,75.10368,22.84125,8.82034,13.09057,1.85013,43.36319,3.08415,27.8708,27.06268,12.28596,6.51764,14.65132,9.81768,37.139,37.63108,40.19817,31.63786,41.68736,59.21697,38.664,4.57774,50.94764,23.83586,41.69438,4.75327,33.96076,8.53611,14.83458,26.95341,29.97291,69.62182,55.87619,2.03177,32.2948,32.28014,34.25322,7.46262,38.81203,36.58033,64.09643,45.67528
p__Proteobacteria,8.04784,4.58893,2.57761,12.48465,0.2431,1.14803,1.31863,0.76234,1.74654,2.26068,2.82672,1.38265,2.14672,4.72823,3.55418,2.66029,1.4228,5.59328,5.12761,2.52537,2.2501,0.35487,0.17323,2.01074,1.9329,2.24583,2.05336,6.82301,4.53488,13.07556,14.03707,0.9942,2.04054,14.95217,19.6941,1.56681,1.55122,28.24565,4.95795,0.9285,4.04866,1.0917,5.92531,1.8749,1.11569,18.66591,1.5509,3.03761,2.0181,2.47701,0.30265,0.74746,0.59498,0.68936,1.21813,1.383,0.96811,0.11302,1.78298,1.08105,0.50161,1.6217,0.87381,1.93151,1.08805,0.17854,0.53963,2.61713,5.48609,3.09434,0.10038,7.60811,3.32476,0.14459,2.97035,0.47025,4.16691,4.47772,1.22131,2.52875,0.08916,9.12686,0.74225,4.72717,1.19662,0.92682,1.59597,1.25945,4.19488,2.58484,5.6199,2.66096,0.42274,3.17354
p__Actinobacteria,1.16116,0.42495,0.21174,0.57758,0.45719,1.93346,0.19801,0.29381,0.1147,1.71434,0.28471,0.16931,0.0503,1.96464,1.3514,0.12303,0.44538,0.20807,0.82247,0.99828,0.2558,0.76022,0.0122,0.13572,0.79413,7.41661,0.39163,3.19559,1.86901,0.02131,1.21725,0.87501,0.60619,0.22771,3.17401,0.25403,0.49008,0.46128,0.81083,0.43655,1.14993,1.29617,0.39,1.26635,0.06355,0.20924,0.50207,0.38354,0.2362,0.22856,4.85584,2.73942,0.20366,0.188,0.38189,0.15674,0.08008,0.02827,2.75509,0.10891,1.19406,0.73293,0.82458,0.78755,0.49073,1.08772,0.36157,1.28358,0.4591,0.53765,0.20698,0.31947,0.25024,0.08224,1.8949,1.29832,0.4688,0.10748,3.31435,0.24187,2.21356,0.17197,0.39914,0.50029,2.36576,0.19613,0.01958,0.65607,0.61382,0.26878,0.61519,0.11797,2.57904,0.50488
p__Tenericutes,0.05526,0.77305,0,0,0,0.00631,0,0,0,0,0,0,0,0.08716,0,0,0,0,0,0,0,0.37192,0,0,0,0,0,0,0,0,0,0,0,0,0.06901,0,0.20964,0,0,0,0,0,2.33819,0,0,0,0,0,0,2.10096,0.05481,0,0,0,0.16726,0,0,0,0,0,0.97258,0.36655,0,0,0,0,0,0.45321,0.14907,3.19167,0,0,0,0,0,0,0.73406,0,0,0,0,0,0,3.8502,0.64898,0,0.54026,0,0,0,0,0,0.2325,0.3642
p__Bacteria_unclassified,0.02387,0.02902,0.02709,0.01158,0,0.1103,0,0,0,0.01288,0.08633,0,0.00058,0.01048,0.00217,0,0.01038,0,0,0,0,0,0,0,0.04286,0.02677,0.00154,0,0,0,0.01558,0.01361,0,0,0,0.01591,0.05144,0.0252,0.00485,0.0144,0,0,0.00866,0.006,0,0.00635,0,0,0,0.17244,0,0,0,0,0.01934,0,0.00807,0,0,0,0,0.00114,0,0,0.00754,0,0,0,0,0,0.15149,0,0.12702,0,0.25533,0,0.03429,0.00966,0.00472,0,0,0.00049,0.04274,0,0.02063,0,0.00357,0.00961,0.00051,0,0.00991,0.02706,0,0.00428
p__Lentisphaerae,0.00846,1.72062,0,0,0,0.00054,0,0,0,0.0084,0,0.04112,0.1753,0.10458,0.09053,0,0,0,0,0.05731,0.07854,0,0,0,0,0,0,0,0,0,0,0,0,0.03009,0,0.16659,0,0,0,0.07735,0,0,0.26976,0.27056,0,0,0.04618,0.00281,0,0,0,0,0,0,0.02757,0,0,0,0,0,0,0.01687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08714,0,0.11485,0,0,0,0,0,0,0,0,0,0.00381,0,0.12045,0,1.77714,0.17537
c__Bacteroidia,55.70684,66.99908,89.29043,48.60526,83.7133,21.87288,91.38495,90.8989,89.47756,71.10514,74.87384,82.91147,91.28983,65.53541,50.15968,91.99935,67.18458,71.57635,61.11924,55.08861,72.7931,67.61099,96.84649,89.1442,65.71124,62.04291,83.4196,46.42653,65.33578,85.2703,55.14464,68.80504,85.72028,42.03361,33.34591,61.08327,44.24906,45.0603,70.72533,60.96944,71.11016,20.7743,69.38247,60.01215,84.78108,56.00023,87.9596,70.50939,85.17323,32.64002,42.98799,66.37424,82.57627,23.51457,74.22581,89.63992,68.35943,98.006,52.07762,94.65357,68.00544,69.30818,86.01564,90.76141,82.91797,88.91531,61.57293,56.57775,53.47524,56.41023,51.01958,26.97019,57.15552,95.00465,43.92787,73.64846,46.07276,89.67836,57.89959,88.68056,81.89361,62.9427,68.24257,20.79721,39.32718,96.83249,65.31475,65.00072,60.90231,89.5181,54.02982,57.53164,11.81475,49.28398
c__Clostridia,15.36944,21.72733,5.48552,33.12021,12.9321,30.93967,6.4108,5.81974,5.74319,20.08027,17.76553,7.66511,4.55101,18.68174,39.04731,4.29173,21.18829,3.94921,26.72056,35.90799,7.26565,26.61877,2.68293,7.70713,18.90404,24.20842,8.9405,8.44184,24.23661,1.39658,25.77379,21.98593,8.1957,37.79332,34.94323,23.73742,21.18274,21.41938,18.25987,19.39596,21.61718,13.64029,12.93134,20.58037,12.33389,20.6833,8.35842,10.09193,11.45267,23.34568,40.47578,15.63364,14.71614,60.74977,14.8052,7.17106,9.34688,1.61839,40.02313,2.26779,23.10778,16.83365,11.04902,4.98021,12.2724,9.49622,18.43557,28.94268,30.2467,29.85528,35.10969,50.17146,36.56737,2.99373,42.8429,16.86452,33.02756,3.64218,25.62145,7.42405,12.08248,23.91067,24.90409,41.65157,50.63218,1.99172,30.10185,27.45174,31.65894,4.3471,33.61662,34.97209,48.25668,32.63076
