Abundance,SAMN03351695,SAMN03351542,SAMN03351487,SAMN03351503,SAMN03351584,SAMN03351571,SAMN03351475,SAMN03351603,SAMN03351602,SAMN03351489,SAMN03351666,SAMN03351563,SAMN03351468,SAMN03351659,SAMN03351447,SAMN03351485,SAMN03351448,SAMN03351537,SAMN03351599,SAMN03351478,SAMN03351453,SAMN03351689,SAMN03351647,SAMN03351461,SAMN03351495,SAMN03351476,SAMN03351708,SAMN03351718,SAMN03351482,SAMN03351454,SAMN03351444,SAMN03351521,SAMN03351466,SAMN03351477,SAMN03351627,SAMN03351544,SAMN03351713,SAMN03351706,SAMN03351467,SAMN03351677,SAMN03351449,SAMN03351510,SAMN03351608,SAMN03351452,SAMN03351723,SAMN03351490,SAMN03351492,SAMN03351450,SAMN03351493,SAMN03351441,SAMN03351555,SAMN03351628,SAMN03351672,SAMN03351633,SAMN03351497,SAMN03351566,SAMN03351532,SAMN03351703,SAMN03351486,SAMN03351578,SAMN03351648,SAMN03351572,SAMN03351617,SAMN03351455,SAMN03351543,SAMN03351442,SAMN03351481,SAMN03351660,SAMN03351549,SAMN03351460,SAMN03351595,SAMN03351479,SAMN03351446,SAMN03351577,SAMN03351488,SAMN03351445,SAMN03351484,SAMN03351654,SAMN03351469,SAMN03351513,SAMN03351483,SAMN03351506,SAMN03351491,SAMN03351451,SAMN03351496,SAMN03351443,SAMN03351494,SAMN03351480,SAMN03351683
k__Bacteria,100.0,100.0,100.0,100.0,99.97752,100.0,99.98737,100.0,100.0,99.82051,100.0,100.0,100.0,0.0,99.92235,99.92436,100.0,0.0,100.0,99.97431,100.0,99.85356,100.0,100.0,100.0,100.0,99.9923,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98915,100.0,100.0,99.94216,99.86569,99.99416,100.0,100.0,99.99489,99.98119,99.98181,100.0,100.0,100.0,100.0,99.95908,100.0,100.0,100.0,100.0,100.0,99.76013,100.0,100.0,99.98519,99.86106,100.0,100.0,99.8494,100.0,100.0,99.80377,99.97944,99.99418,100.0,100.0,99.98297,99.9944,100.0,100.0,99.36693,99.99665,99.98638,99.98863,100.0,100.0,100.0,100.0,99.99794,100.0,100.0,99.23346,100.0,99.95891,100.0
p__Bacteroidetes,88.86504,62.70484,82.83417,49.77273,54.79278,95.64609,57.27617,80.68607,74.18358,55.03492,70.61324,73.78923,98.11222,0.0,57.79977,65.97335,50.96783,0.0,51.11395,44.30566,76.57966,68.92356,75.28098,87.04459,82.24308,88.17078,70.16101,80.43706,84.67176,88.16168,74.32483,73.89947,81.39579,64.47608,27.92665,74.36088,65.42229,58.71762,35.51165,79.52287,48.51588,80.71833,63.15861,61.58301,49.06585,49.25563,89.40657,51.62176,76.30326,41.15619,63.71784,65.42174,93.01921,88.03374,86.5804,66.51,95.19776,83.41981,38.71433,67.14495,37.29977,90.57604,24.03108,90.20487,85.26323,54.57466,52.12903,80.01716,65.63494,79.48397,65.05266,86.91854,38.72965,65.65972,48.77967,59.98622,67.75194,61.75121,20.98001,65.76752,86.87715,87.40082,76.61223,92.2255,95.38332,19.35953,35.45757,53.99514,58.3294
p__Firmicutes,7.10617,35.20338,15.88081,49.2071,41.10965,2.40025,38.36205,17.81097,15.34145,36.45316,17.24237,24.98713,1.82937,0.0,36.26519,29.71133,44.98203,0.0,46.52016,35.49007,22.91839,25.93297,20.99898,11.7633,17.169,9.21533,17.74933,15.97754,13.19595,10.32859,19.48205,23.05263,16.86115,34.60743,70.2863,21.09866,32.51174,39.5017,60.8658,18.09931,44.67791,15.39788,35.47031,28.6894,45.91159,23.15192,8.9588,27.28245,20.44776,50.46505,35.42449,31.5838,6.51612,8.50499,12.84294,32.48795,4.12699,11.42606,55.9013,28.91215,60.71216,7.29871,68.00581,4.00516,12.43431,30.9232,39.60991,18.5248,31.88198,17.58204,32.28413,11.23376,53.48217,32.70141,46.98172,35.49042,27.50869,33.54531,69.42727,33.09709,12.69296,11.2401,17.78413,6.09342,4.37786,51.84706,43.60928,39.68552,36.20803
p__Proteobacteria,2.78482,1.64245,0.70109,0.07799,1.17135,0.19439,0.83344,1.3619,8.32918,1.61707,0.60462,0.33109,0.05435,0.0,2.5533,1.23168,2.00987,0.0,0.91568,3.68795,0.36509,4.33452,2.22957,0.98967,0.39532,2.12676,0.32616,0.63069,0.8253,1.43714,4.26862,1.62848,1.29676,0.65623,0.44505,3.65817,2.01513,1.09981,0.37103,2.0622,1.52701,3.71904,0.6623,0.51369,0.91991,15.70896,0.03834,15.92974,1.96039,1.41472,0.42284,2.7614,0.22288,2.99525,0.51237,0.4432,0.66238,4.75559,0.98399,2.5077,1.18801,0.50561,0.69758,5.70318,2.01481,2.73094,3.50582,0.22845,0.65044,1.34642,1.88738,1.13144,5.96912,0.84028,1.76703,4.12567,3.5458,2.07432,0.20401,1.03902,0.09302,1.01065,0.06473,1.59311,0.14696,1.33657,16.90303,5.34756,4.0256
p__Actinobacteria,1.24397,0.44933,0.16842,0.94217,2.25919,0.09998,0.23269,0.14105,2.14579,3.57275,0.83955,0.01389,0.00406,0.0,1.5884,1.14617,0.59384,0.0,0.49134,4.31595,0.13687,0.31302,0.08572,0.20244,0.09606,0.48712,0.39113,2.1656,0.11735,0.07259,0.21441,1.40832,0.4463,0.00092,0.71484,0.56069,0.04412,0.55465,2.99769,0.2954,3.29773,0.13116,0.48644,1.76704,3.94167,11.69278,1.59628,5.04477,0.73814,2.28663,0.27755,0.15884,0.24044,0.13894,0.02284,0.31898,0.00994,0.39853,1.57232,0.36923,0.79303,0.13423,5.20141,0.0868,0.28766,0.84693,4.22372,0.19507,0.97689,1.51521,0.70907,0.16326,1.74162,0.42352,1.41993,0.39434,0.41147,0.42399,9.38402,0.09638,0.28744,0.28989,0.10776,0.08796,0.09186,11.7252,0.47704,0.75086,0.5072
c__Bacteroidia,88.86504,62.70484,75.06552,49.75712,52.59062,95.64609,57.27617,80.68607,74.18358,55.02882,70.61324,73.78923,98.11222,0.0,57.62906,59.9198,50.96783,0.0,51.11395,40.07366,76.57966,68.92356,75.28098,87.04288,82.24308,88.17078,61.99267,80.31205,83.72561,88.16168,74.32483,73.89947,79.84345,64.47608,27.02432,74.36088,41.71067,58.71762,34.22228,79.47168,46.285,80.71833,63.15861,61.58301,46.14459,43.17691,88.45017,46.28148,76.30326,37.30765,63.71784,52.09308,93.01921,88.03374,86.5804,66.51,95.19776,83.41981,33.50637,67.14495,37.29977,90.57604,23.39844,90.20487,85.26323,54.57466,51.8487,80.01716,64.27507,73.93943,65.05266,86.91854,38.72965,65.65972,30.78608,59.68115,67.75194,59.22364,20.98001,51.45951,86.87715,87.39937,76.61223,92.2255,95.38332,17.23179,31.88529,53.98287,58.07886
c__Clostridia,6.70295,32.49846,12.25192,40.66906,31.00843,2.17785,27.33801,13.73629,13.74578,25.47065,14.94203,21.32458,1.54652,0.0,23.38118,22.85615,24.8308,0.0,45.16233,25.6469,16.89514,22.17861,19.61681,10.17962,11.5041,7.42195,14.71825,14.78206,8.29343,9.88031,17.77496,21.88773,13.84591,30.72535,62.13697,17.03802,27.66219,33.91346,23.11055,16.57521,37.38042,12.99148,27.85014,15.46749,34.9232,11.50337,4.49648,22.32504,18.13969,35.58279,31.17802,26.4738,5.24035,7.80872,4.85283,29.15575,4.03131,9.51012,33.56996,25.52461,46.96815,6.76864,38.20491,3.22049,9.90265,16.62687,27.91037,13.29285,29.3371,11.74684,28.27917,8.83381,49.24813,20.43801,24.67129,32.90147,21.18151,31.14499,64.69626,30.79759,12.50698,10.85001,14.96964,2.2584,3.09902,32.82593,35.97858,33.72436,33.7783
c__Betaproteobacteria,2.63263,1.62747,0.41024,0,0.289,0.17516,0.57575,1.3619,7.99971,0.83617,0.46113,0,0.04942,0.0,2.07784,0.24684,1.508,0.0,0.69136,0.55785,0.32118,0.36203,0.27744,0.32165,0,1.41214,0.30384,0.55912,0.76626,1.38028,4.17856,1.23778,0.81569,0.43948,0.20272,2.10451,1.83246,0.26115,0.01259,0.87788,0.12529,1.57041,0.63067,0.30732,0.18537,1.55074,0,1.29402,1.82553,0.07305,0.2596,2.26483,0.20701,1.61904,0.44433,0.24796,0.48927,4.41221,0.14524,0.22528,0.45466,0,0.55458,5.46939,1.66384,0.4776,3.16994,0.18158,0.54243,0.59284,1.17626,0.64627,1.55785,0.60742,0.40755,3.83571,1.25025,2.03043,0.00713,0.69785,0,0.23041,0,1.32941,0.06718,0.01671,1.29992,1.76876,0.15397
c__Coriobacteriia,1.24397,0.4377,0.14394,0.94217,1.35404,0.09004,0.23119,0.08857,0.13068,2.7275,0.37878,0.01361,0.00406,0.0,0.9483,1.07854,0.02758,0.0,0.49134,1.7726,0.13424,0.31302,0.02109,0.15259,0.01364,0.44659,0.27837,2.12441,0.08168,0.04589,0.0984,0.58123,0.37146,0.00092,0.44491,0.19058,0.03887,0.50364,2.98929,0.26285,1.43904,0.08985,0.36397,1.45814,2.02002,0.0481,0.06343,0.07597,0.10381,0.87738,0.01558,0.09841,0.12606,0.13894,0,0.31898,0.00994,0.12199,0.70688,0.36923,0.72059,0.13423,3.84427,0.05419,0.00403,0.53321,3.91151,0.14023,0.55193,1.35442,0.58032,0.05311,0.30986,0.24171,0.67825,0.1657,0.33655,0.42399,1.12126,0.07007,0.01467,0.27639,0.10776,0.01991,0.09066,1.80849,0.26367,0.58919,0.1035
c__Negativicutes,0.38616,2.10433,2.33603,1.8024,1.147,0.16601,0.26677,0,1.08277,1.54412,1.72095,3.30304,0.22994,0.0,3.41803,0.26495,2.44565,0.0,0.57943,3.37099,5.1279,0.97528,1.04021,0.78893,4.32539,1.60966,1.74586,0.3496,4.19569,0.14687,0.86932,0.70542,0.86224,0.16057,4.16758,0.32694,0.37473,1.31758,1.60209,1.25267,3.51921,1.22316,0.74074,1.25572,1.79022,5.73177,0.2691,1.42127,1.76608,2.25186,1.19062,3.15754,1.20443,0,7.86947,0.33539,0.08098,1.52741,2.78264,1.07859,6.13073,0.41166,9.95316,0.1567,2.24284,5.13066,3.54597,2.00233,0.21749,2.57331,1.74848,1.44052,1.5749,1.55863,1.26209,0.92348,1.79124,2.04813,2.80824,1.1134,0.02649,0.1117,2.22114,3.72008,1.12047,2.34335,0.00262,2.53912,0.21877
c__Gammaproteobacteria,0.07652,0,0,0.01557,0.15178,0,0.04751,0,0.0976,0.20958,0.0044,0.00099,0.00493,0.0,0.36863,0.55233,0.04412,0.0,0.02302,1.45847,0.02502,0.05102,0.09625,0,0.13673,0.6842,0.01912,0.06363,0.01534,0,0.09006,0.38585,0.03487,0,0.02693,1.43967,0.01636,0,0.25828,1.16216,0.10675,0.02529,0.00664,0.04007,0.17133,2.36177,0.02177,3.91577,0,0.76954,0.02496,0.00903,0.01408,0.02505,0.06804,0.02526,0.16537,0.34339,0.67906,0.00622,0.15219,0.48855,0.143,0.23379,0.06628,1.02116,0.32481,0,0,0.43784,0.04406,0.17465,0.55644,0.04611,1.17354,0.13013,2.12026,0.04389,0.19688,0,0.01388,0.04363,0.02017,0.2637,0.00237,0.6871,4.46573,1.37705,0.01019
c__Alphaproteobacteria,0.07567,0,0.10259,0.02024,0,0,0.08889,0,0.21335,0.04458,0.0603,0.01798,0,0.0,0.01296,0.03365,0.01328,0.0,0.08381,0,0.01889,0.00244,0.46593,0.49373,0.14263,0,0.00321,0,0.00069,0.05556,0,0,0.02955,0.17988,0.04073,0.0292,0,0.7745,0,0.01835,0.07833,0.28322,0,0.00882,0.00447,5.51203,0.01657,8.48932,0,0.21281,0.10636,0,0.00179,0,0,0.05944,0.00774,0,0.0255,0.00471,0.22856,0.01678,0,0,0,0,0,0.00442,0.06185,0,0.27245,0.0211,0.48619,0.00608,0.01247,0,0.02988,0,0,0,0.07915,0,0.00384,0,0.07741,0.00539,1.85246,0.34692,0.00246
c__CFGB1292,0.01706,0,0.10493,0,0,0,0,0,0,0,0,0,0,0.0,0,0.14464,0,0.0,0,0,0,0.01115,0,0.01482,0,0,0,0,0,0,0,0,0,0.0057,0,0.00169,0.06888,0,0,0,0,0,0,0.00413,0,0,0,0,0,0,0.02645,0.08192,0,0,0,0.275,0,0,0,0.00866,0.00411,0.00302,0,0,0,0,0,0,0.13986,0.00058,0,0,0,0,0,0.11152,0,0,0,0.03303,0,0,0,0,0,0,0,0,0.0108
o__Bacteroidales,88.86504,62.70484,75.06552,49.75712,52.59062,95.64609,57.27617,80.68607,74.18358,55.02882,70.61324,73.78923,98.11222,0.0,57.62906,59.9198,50.96783,0.0,51.11395,40.07366,76.57966,68.92356,75.28098,87.04288,82.24308,88.17078,61.99267,80.31205,83.72561,88.16168,74.32483,73.89947,79.84345,64.47608,27.02432,74.36088,41.71067,58.71762,34.22228,79.47168,46.285,80.71833,63.15861,61.58301,46.14459,43.17691,88.45017,46.28148,76.30326,37.30765,63.71784,52.09308,93.01921,88.03374,86.5804,66.51,95.19776,83.41981,33.50637,67.14495,37.29977,90.57604,23.39844,90.20487,85.26323,54.57466,51.8487,80.01716,64.27507,73.93943,65.05266,86.91854,38.72965,65.65972,30.78608,59.68115,67.75194,59.22364,20.98001,51.45951,86.87715,87.39937,76.61223,92.2255,95.38332,17.23179,31.88529,53.98287,58.07886
o__Eubacteriales,6.57929,32.03379,11.67221,40.06374,28.47502,1.9169,24.81795,13.72022,13.43407,24.66577,14.27226,20.82944,1.5119,0.0,22.53746,22.41999,24.69286,0.0,43.60927,24.47805,16.57419,20.69504,19.32987,9.3547,11.46904,7.23572,13.21886,14.42114,7.90244,9.61293,17.69466,21.745,13.54186,29.70328,60.5403,16.54525,25.12565,31.51996,22.39981,16.23364,36.52019,12.69318,25.8447,14.77903,33.60906,11.08454,4.32934,22.11562,17.40277,34.00016,30.95004,24.88462,4.91981,7.77119,4.85283,28.53404,3.95924,9.46807,32.68975,22.93615,46.08223,6.62199,34.60166,3.18304,9.83573,16.24069,27.17938,11.16284,27.97528,11.47335,27.03323,8.76238,48.10924,19.96942,23.10067,32.29173,20.10117,29.74669,63.31893,30.52865,12.20115,10.80364,14.4032,2.2584,3.08893,30.6641,35.24504,31.16949,33.12546
o__Burkholderiales,2.63263,1.62747,0.41024,0,0.289,0.17516,0.57575,1.3619,7.99971,0.83617,0.46113,0,0.04942,0.0,2.07784,0.24684,1.508,0.0,0.69136,0.55785,0.32118,0.36203,0.27744,0.32165,0,1.41214,0.30384,0.55912,0.76626,1.38028,4.17856,1.23778,0.81569,0.43948,0.20272,2.10451,1.83246,0.26115,0.00762,0.87788,0.12529,1.57041,0.63067,0.30732,0.18537,1.55074,0,1.29402,1.82553,0.07305,0.2596,2.26483,0.20701,1.61904,0.44433,0.24796,0.48927,4.41221,0.14524,0.22528,0.45466,0,0.55458,5.46939,1.66265,0.4776,3.16994,0.18158,0.54243,0.59284,1.17626,0.64627,1.55785,0.60742,0.40755,3.83571,1.25025,2.03043,0.00713,0.69785,0,0.23041,0,1.32941,0.06718,0.01671,1.29992,1.76876,0.15397
