Abundance,SAMN08049831,SAMN08049826,SAMN08049839,SAMN08049838,SAMN08049841,SAMN08049829,SAMN08049824,SAMN08049834,SAMN08049836,SAMN08049837,SAMN08049828,SAMN08049822,SAMN08049820,SAMN08049840,SAMN08049827,SAMN08049821,SAMN08049830,SAMN08049832,SAMN08049825,SAMN08049833,SAMN08049823,SAMN08049835
k__Bacteria,99.98474,99.68814,99.6872,100.0,100.0,100.0,100.0,100.0,100.0,96.23196,99.96767,100.0,98.13861,98.52233,97.62837,100.0,100.0,97.28732,99.97239,100.0,99.9259,96.48931
p__Firmicutes,86.6307,70.22238,56.88888,96.61217,87.21808,80.64366,81.82048,81.24805,72.65851,56.42304,68.74756,72.09607,83.13749,64.46937,64.23434,77.06894,91.23529,76.11699,81.66287,74.56649,56.47727,54.94699
p__Actinobacteria,6.73832,6.50574,41.27561,2.30761,8.87849,11.73364,12.39433,11.48883,25.85154,24.40466,12.4327,13.246,4.624,20.66105,6.74536,9.59988,8.53495,12.25721,11.40448,13.08219,14.14699,17.6988
p__Bacteroidetes,6.02798,12.5871,1.37476,0.88178,2.74163,4.37493,4.82883,5.16123,1.03757,10.54977,18.51814,13.95162,8.80945,9.75303,17.45711,11.8598,0.19431,7.03301,6.07243,5.99185,22.07171,14.72869
p__Bacteria_unclassified,0.338,0.01275,0.01463,0,0.94337,0.33883,0,1.84336,0.34741,0.5008,0.0434,0,0.02677,0.16059,0.00624,0,0,0.10318,0.34182,0,0.08834,0.04801
p__Proteobacteria,0.23442,1.08481,0,0.19844,0.20646,0.08277,0.10774,0.07739,0.03914,1.13205,0.22588,0.70631,1.16986,0.37953,1.15885,1.47138,0.03545,1.77238,0.49079,0.28618,1.06678,1.72616
p__Verrucomicrobia,0.01533,9.19655,0.13332,0,0,2.82617,0.84862,0.18114,0.06583,3.22163,0,0,0.08764,3.08907,7.70411,0,0,0.00455,0,6.03407,6.06096,7.26762
c__Clostridia,80.97664,59.67897,41.44654,88.27008,72.29174,64.33604,73.12404,70.64193,63.14738,45.89123,61.69911,64.64832,63.54541,56.25218,39.96914,72.10411,83.83132,65.58204,70.05474,72.52848,46.59063,41.0696
c__Bacteroidia,5.99162,11.36149,1.37476,0.88178,2.7017,4.13159,3.8818,5.03563,1.01766,8.94655,18.04182,13.95162,7.78598,5.78306,17.39063,11.8598,0.19431,4.77594,6.05304,5.04304,21.59809,14.51775
c__Actinomycetia,4.23361,1.93865,27.23098,0.06374,5.72565,5.27917,8.0719,3.47128,14.47831,17.65413,5.93865,9.77512,2.47617,14.66841,2.32765,8.4873,0.71145,5.56019,7.03975,8.48931,10.34737,12.17569
c__Negativicutes,3.30095,1.41163,1.76621,2.88848,4.53696,0.25714,3.59045,3.33817,1.07733,0.03859,1.72532,2.64361,1.84326,0.45917,4.31047,3.19567,0.29038,1.37951,0.86473,0,0.77755,0.77537
c__Coriobacteriia,2.5047,4.20723,10.80232,2.24387,3.15284,4.7054,4.25946,7.73614,10.5231,4.88014,3.44222,3.47087,1.88424,5.34798,2.41153,1.11257,6.30676,6.21241,4.30157,4.59289,3.03595,4.69494
c__CFGB3012,0.85448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Firmicutes_unclassified,0.41873,0.31771,0.05975,0.7695,0.0976,0.56809,0.05407,0.9382,0.57683,0.14567,0.07593,0,0,0.06865,0.0177,0.09453,0.3416,0.39128,0.37044,0,0.38845,0.11248
c__CFGB76763,0.338,0.01275,0.01463,0,0.94337,0.30181,0,1.84336,0.34106,0.37054,0.0434,0,0.02677,0.16059,0.00624,0,0,0.10318,0.34182,0,0.08834,0
c__CFGB75721,0.26321,0.08552,0,0,0.01993,0.01532,0,0.11211,0,0.02363,0,0,0,0.10591,0,0,0,0.26323,0.07823,0,0.01305,0
c__Bacilli,0.17239,2.8437,3.92145,2.72535,3.07735,5.64758,0.38659,0.8776,1.82828,1.62156,1.17736,1.38506,5.93879,2.45775,5.06974,0.13105,3.7123,0.11319,1.61948,0.96703,3.44956,1.67743
c__Betaproteobacteria,0.15944,0.00114,0,0,0.03125,0,0.0165,0.01635,0,0,0.15012,0.03034,0.13713,0.01034,0.4822,0.94734,0.01048,0.04114,0.02512,0,0.32981,0.09624
c__CFGB3068,0.14428,0.58718,0.26384,0,0.3342,0.35658,0.14921,0.33701,0.25317,0.13085,0.20244,0,0.25821,0.20797,0.45529,0.17972,0,0.3339,0.26931,0,0.2001,0.35917
c__CFGB1292,0.06637,0.03108,0,0.14766,0,0.02391,0.0004,0,0,0.04795,0.08232,0.07926,0.14835,0.02508,0.0388,0,0,0,0.10729,0,0.03166,0
c__CFGB76783,0.06582,0.64376,0.38908,0,1.22686,0.08133,1.31654,0.05392,0.00393,1.89176,1.20598,0,0.16366,0,0,0,0,0,0.18283,0,0.12831,0.04139
c__CFGB3070,0.0624,0,0,0,0,0.09976,0.02741,0,0,0.08633,0,0.08711,0,0.00043,0.05018,0,0,0.08355,0,0.00538,0,0
c__CFGB76388,0.05436,0,0,0,0.0164,0,0,0,0,0,0,0.50542,0,0.00205,0.00849,0,0,0.0254,0,0,0,0.07411
c__CFGB1011,0.0491,0.08756,0,0,0.02863,0.0164,0.08089,0.0137,0.0304,0.00382,0,0,0,0.03938,0.0455,0,0.09286,0.09022,0.09784,0,0.09304,0.2986
c__Deltaproteobacteria,0.04832,0.24794,0,0.00025,0.03803,0.03688,0.06573,0.06104,0,0.05864,0.00155,0.3334,0.12507,0.02097,0.27925,0.09111,0,0.00307,0.1574,0.00065,0.33845,0.05198
c__CFGB3048,0.03752,0.1459,0,0,0.00855,0.22296,0.05446,0,0,0.08519,0,0,0.08159,0.08772,0,0,0.04352,0,0.02935,0,0.03488,0.02362
c__CFGB1670,0.03635,0.45228,0,0,0.03993,0.24335,0,0,0.01992,0.10009,0,0,0,0.02253,0,0,0,0,0.01939,0.9488,0.03708,0.05475
c__CFGB9989,0.03424,0.10134,0,0,0,0,0,0,0,0.36368,0,0,0.48442,0.00336,0.21535,0,0,0,0.15684,0,0,0
