Abundance,SAMEA728908,SAMEA728622,SAMEA728808,SAMEA728663,SAMEA728854,SAMEA728851,SAMEA728772,SAMEA728755,SAMEA728706,SAMEA728646,SAMEA728680,SAMEA728785,SAMEA728913,SAMEA728876,SAMEA728697,SAMEA728749,SAMEA728887,SAMEA728929,SAMEA728674,SAMEA728602,SAMEA728690,SAMEA728923,SAMEA728791,SAMEA728862,SAMEA728821,SAMEA728920,SAMEA728942,SAMEA728873,SAMEA728933,SAMEA728685,SAMEA728630,SAMEA728611,SAMEA728760,SAMEA728703,SAMEA728805,SAMEA728814,SAMEA728734,SAMEA728665,SAMEA728740,SAMEA728617,SAMEA728899,SAMEA728627,SAMEA728652,SAMEA728783,SAMEA728672,SAMEA728777,SAMEA728902,SAMEA728797,SAMEA728586,SAMEA728835,SAMEA728649,SAMEA728918,SAMEA728843,SAMEA728788,SAMEA728574,SAMEA728831,SAMEA728726,SAMEA728799,SAMEA728916,SAMEA728867,SAMEA728635,SAMEA728700,SAMEA728865,SAMEA728670,SAMEA728717,SAMEA728667,SAMEA728614,SAMEA728950,SAMEA728794,SAMEA728692,SAMEA728884,SAMEA728599,SAMEA728766,SAMEA728582,SAMEA728826,SAMEA728769,SAMEA728890,SAMEA728638,SAMEA728661,SAMEA728894,SAMEA728848,SAMEA728817,SAMEA728925,SAMEA728802,SAMEA728774,SAMEA728763,SAMEA728905,SAMEA728897,SAMEA728589,SAMEA728723,SAMEA728745,SAMEA728720,SAMEA728731,SAMEA728712,SAMEA728780,SAMEA728565,SAMEA728845,SAMEA728570,SAMEA728676,SAMEA728752,SAMEA728643,SAMEA728594,SAMEA728709,SAMEA728859,SAMEA728743,SAMEA728714,SAMEA728910,SAMEA728856,SAMEA728839,SAMEA728658,SAMEA728737,SAMEA728946,SAMEA728655,SAMEA728561,SAMEA728870,SAMEA728938,SAMEA728578,SAMEA728881,SAMEA728812,SAMEA728829,SAMEA728878,SAMEA728728,SAMEA728607,SAMEA728758
k__Bacteria,99.997,99.9448,100.0,100.0,99.94158,99.9519,98.09649,99.99803,98.85533,100.0,99.97019,99.87726,99.93721,100.0,99.67423,99.96828,99.9704,99.94047,99.85492,99.9461,99.91625,99.89754,100.0,99.80638,100.0,99.96191,99.33318,99.99328,100.0,99.86005,99.86705,99.86389,99.89789,99.93309,99.81596,99.78442,99.90783,99.97965,100.0,100.0,99.90723,99.939,99.44337,99.91345,97.88018,100.0,99.95336,100.0,99.91276,99.99534,100.0,99.99766,100.0,99.98467,99.77827,99.9611,99.38512,99.82657,99.94996,99.88991,100.0,99.94753,99.91094,100.0,99.80842,99.14957,99.90273,99.75282,97.57075,99.9104,99.99779,100.0,100.0,99.95113,99.88069,99.93085,100.0,100.0,99.95012,99.9786,99.93368,99.59129,99.70101,99.90857,100.0,99.96388,99.97214,99.929,99.95504,99.7601,99.8552,99.52285,99.96888,100.0,99.94151,100.0,100.0,100.0,99.95897,99.43554,99.87899,99.91943,100.0,99.84379,99.00437,99.96667,100.0,100.0,99.8889,99.8722,100.0,99.78587,99.91637,99.3492,100.0,99.82578,98.18107,99.95803,100.0,99.87882,99.59574,99.87436,100.0,100.0
p__Firmicutes,36.03996,59.48773,39.33789,66.83319,64.44827,64.09338,68.97027,78.20393,63.60049,17.44487,46.48428,57.09535,60.46365,50.52636,66.46141,67.95032,40.85964,64.69148,68.24482,55.54095,53.19154,48.48821,19.40333,58.85303,39.46646,32.01567,73.41654,76.16763,43.07579,57.95958,46.90822,72.09739,55.74478,59.1785,58.3131,65.16542,59.96097,34.69696,62.90515,44.78027,78.35715,61.38567,59.39439,54.71707,58.54278,62.66713,68.96176,52.44561,25.52887,51.50988,62.6772,39.13383,66.4608,69.4321,59.86229,43.297,56.47367,59.19092,49.94107,43.29833,63.51149,59.3927,48.51723,19.71638,68.76791,47.31533,57.71073,50.01362,68.90341,64.8553,73.24731,31.91017,25.37521,66.40387,61.91603,38.02939,57.542,50.38795,60.01897,26.0915,51.81819,55.62355,51.28395,54.12003,35.99952,76.59782,34.66358,54.38013,69.6533,71.51072,31.58819,42.72132,59.48918,48.92668,70.27023,80.64793,25.1723,47.88371,60.76032,50.74452,71.83226,52.65708,29.8519,64.78961,65.85255,53.97269,26.27445,41.01002,50.02535,63.74023,31.77705,68.03303,65.82683,56.02102,71.26251,83.73415,49.82248,53.61463,51.35739,39.33081,65.12621,66.23004,34.22922,23.6533
p__Tenericutes,34.88887,10.26318,0,0,0.14354,0.06505,0,0,0.58723,0,0.56255,9.88991,0,0,4.30863,0.31616,0,0.48978,0,0,0.52244,0.49657,0,2.29048,0,0.18971,0.11522,0.13007,0,6.03229,0.15857,0.53244,0.08835,1.07405,0.0984,0.42651,0.51296,0.01128,0,0,0,5.79904,0,0,0.80798,0.06585,0.65037,0,0.0696,0,0,0,0,0,0,0,0.02682,0,0.50005,16.12487,0.2713,0.09417,7.35331,0,2.50295,0.02165,5.03571,0.2494,0.58265,0,1.18578,0,0,1.22206,0,0,0,0,0.15895,0,0,0.03118,18.66873,1.23556,0,0,0.04017,0.1878,2.76953,0.00792,0.06555,0,2.58176,0,0.8348,0,0,0,0.70789,15.54202,0.06474,2.53531,0,0.10927,0.13813,0,0,0,0.42445,0.08494,0,2.59377,2.1574,0.0596,0,0.00068,3.22554,0.24043,0,0,1.95015,0.00029,0.22965,0
p__Bacteroidetes,25.60084,28.59419,55.07229,24.0023,21.94525,26.79798,19.84546,13.95267,20.3745,78.54526,46.46907,26.3428,30.18358,38.65398,19.05577,23.94977,53.02085,21.58792,22.17439,41.72028,39.38756,37.66403,74.44069,37.15349,48.0074,66.30749,18.54326,20.30985,46.95003,30.6864,47.95196,18.76439,39.23393,35.53139,31.05255,25.57178,30.55461,63.35448,17.50774,48.8794,11.1896,25.73069,36.57909,37.27508,32.7614,32.33202,25.84229,41.10575,72.09871,44.71786,25.61294,42.58039,27.22818,27.68458,30.68148,47.91105,33.09132,36.67853,47.276,36.69445,27.91014,31.83769,35.76117,72.69409,21.57023,42.39569,24.32638,35.63927,21.2082,27.78038,20.98469,66.38887,52.4186,29.981,31.97166,41.5477,40.24004,48.43242,25.57792,68.82615,42.79019,36.49306,21.74609,33.20356,58.64253,13.13211,61.7689,39.00556,18.43429,22.19355,63.68149,50.45296,29.15046,48.54935,24.43757,15.66589,70.08133,46.48853,25.62802,23.55856,22.93369,36.7245,68.5979,28.70997,27.004,42.0962,71.24326,50.18475,26.00228,26.9228,65.65924,19.50167,23.83556,41.05479,21.7422,11.4946,36.53248,40.0649,42.16335,51.00309,22.92977,28.75941,61.53842,74.58375
p__Actinobacteria,1.78937,0.39997,0.75238,3.12476,1.03273,2.09499,5.5545,6.48239,5.63755,0.3969,0.36452,1.0554,0.99494,4.8356,1.23896,1.78737,0.53979,0.86013,2.19312,0.84803,1.97359,2.29083,0.92703,0.71174,11.77048,0.50381,1.2321,0.89627,0.8077,1.86517,1.19346,1.17837,2.2849,3.07682,8.05025,1.48096,1.35428,0.86981,0.48666,1.54203,6.0559,2.00682,0.60194,0.87006,2.51663,1.69056,2.07334,3.15055,0.31269,1.04328,10.42844,0.58301,4.17676,1.1876,2.645,6.14299,2.11702,0.79286,1.22442,1.51158,1.06198,1.18934,0.43127,0.11803,1.87647,2.15111,2.06706,1.48746,1.6058,3.51332,2.37585,0.43291,0.33748,0.823,1.82524,0.29326,0.49131,0.21348,2.99866,0.82651,1.48807,1.39271,1.83206,0.69977,1.51245,4.65046,0.68482,2.46549,0.58082,1.49784,1.14963,2.21623,1.41383,1.1416,2.08251,2.21992,2.53189,0.27084,7.71555,1.19768,1.93075,2.26109,0.32071,0.43182,2.08646,1.58159,0.11601,4.89303,1.60268,3.0671,0.30527,2.44256,0.88033,0.91957,3.90387,1.38456,0.56175,1.88784,3.96351,0.82351,1.41592,1.79678,2.49129,0.38275
p__Proteobacteria,1.67283,1.19973,4.79039,6.02608,12.33813,4.79115,1.26323,1.29102,7.63721,3.61238,5.48176,4.95151,6.32255,3.26836,3.71955,5.92624,5.54953,4.74093,4.46728,1.82984,3.94493,5.31131,5.2254,0.62715,0.75285,0.82484,2.75319,1.33432,9.01609,3.00683,3.57733,6.15008,1.48018,0.85866,2.25403,6.00471,4.98521,1.01678,14.58384,4.7188,1.25717,1.56567,2.80014,5.06204,2.26742,2.49623,1.51091,3.29809,1.83825,2.70426,1.26982,1.3688,2.10054,1.66723,6.55889,2.38448,5.04304,0.85969,0.69227,2.20636,3.84144,6.41061,5.40199,5.79512,4.3642,5.54387,10.49488,10.00782,2.71944,3.7614,1.338,1.01646,8.53933,1.49384,3.19214,18.68035,1.64896,0.96615,8.26918,3.58723,2.54078,5.89578,2.88616,4.11733,3.73506,2.6273,2.79257,3.53616,8.1236,2.79586,2.9199,3.59869,4.4839,1.31469,2.23997,1.46331,2.21449,1.36234,2.40348,4.35127,2.97179,2.69119,1.22889,2.09582,3.86919,2.23058,2.36628,3.85169,7.91869,5.86869,2.20262,5.82849,5.24779,1.26999,2.27026,2.09839,5.43053,3.97663,2.46894,7.19932,4.64578,2.94532,1.49642,1.35928
p__Verrucomicrobia,0.00513,0,0,0,0,0.77455,2.45515,0,0.60694,0.00059,0.00907,0.17724,0.00907,2.30038,0.00552,0,0,0,0.07309,0.00568,0.38068,0.21237,0,0.17048,0,0.11223,3.21314,0.03754,0.14734,0.23811,0,0.02782,0.61562,0.19133,0,0.02998,0.49212,0,0,0.05487,2.4215,3.20291,0.03048,0,0.91177,0.46279,0.18882,0,0.00614,0.00829,0,0.05389,0,0,0,0.02432,1.02077,2.25134,0.29715,0,2.4542,0.56063,0.69273,0.01043,0.58096,1.05283,0.13615,0.90451,1.23147,0,0.51322,0,0.00494,0.00329,0.08754,0.70629,0.0777,0,2.86816,0.56065,0.10185,0,0.32115,0.48373,0,0.19453,0.02211,0.13098,0.05916,1.75181,0.08978,0,0.37616,0.06768,0.06227,0.00295,0,0,0.00546,3.49822,0.00504,2.37527,0,0.04245,0,0.00877,0,0.04218,0.24136,0.09366,0.02451,1.37271,0.54376,0,0,0.70084,0.35919,0.08008,0.0468,0.05575,2.75876,0.13327,0,0.01872
c__CFGB343,34.88514,10.23472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.76773,0,0,4.91623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Clostridia,29.40928,36.73789,34.39855,59.99326,43.40042,44.17901,53.51486,72.15883,15.19532,13.85388,29.63764,27.90118,48.2723,40.82188,29.80142,49.8056,31.80687,25.18202,31.36093,44.71143,24.46224,30.71101,16.6687,40.88674,28.13521,25.36466,21.79576,44.35939,33.86867,34.07108,34.34695,57.44501,44.00653,40.33025,37.19312,48.34569,47.59718,24.36201,45.53096,33.21528,53.12344,31.84543,43.07506,32.06168,30.12879,47.52518,45.91975,43.55045,16.44103,43.992,54.16138,27.58762,49.37687,49.39283,41.05365,36.16716,47.47319,37.30134,29.69469,32.91521,51.97609,37.62114,27.70698,15.89112,52.20486,30.22377,42.55735,32.46637,37.44315,54.7035,31.97855,23.83171,15.54275,54.53274,42.78237,35.23967,54.72547,45.64476,34.21609,18.83162,36.75188,26.80683,32.90808,33.72341,26.28248,63.38565,25.23053,42.30909,43.12987,60.68155,21.55537,22.24681,46.45582,38.23709,56.08548,58.59293,20.64389,41.56296,41.48179,25.86296,57.99434,28.77844,25.51458,52.7768,38.39211,43.31945,17.55444,39.03276,38.59156,47.57313,22.64935,47.98006,41.69422,38.88504,58.4923,60.85364,28.83097,32.02668,39.2443,33.34373,31.2052,48.43494,26.00932,16.09608
c__Bacteroidia,25.30989,23.05851,54.9463,23.97911,20.21854,21.20834,19.57697,13.93772,19.86313,75.77738,42.47107,22.66505,30.17057,38.65331,18.99856,23.84184,52.99682,21.00055,16.77205,41.66132,22.37307,37.38979,73.98705,36.32252,47.9736,62.48844,18.24685,18.34257,45.51019,17.21246,45.51565,14.52793,17.41235,34.92946,29.67508,19.65146,30.51223,61.19211,17.50437,48.10929,10.87335,23.08365,29.05141,35.8823,12.06931,32.30523,15.48723,41.08094,69.21551,37.82506,25.35702,42.29572,19.96306,27.63331,26.81685,38.77489,24.48775,36.34034,46.98589,32.14011,27.34557,28.43199,34.90294,69.82234,18.98303,39.74791,22.35602,34.105,18.23108,23.88814,20.87266,66.38887,51.67534,20.39437,29.71839,40.43839,40.14052,48.41085,25.10579,68.75106,42.42358,29.85131,19.42974,33.19253,50.7722,12.76228,56.80942,19.79786,13.97926,22.09946,58.64147,46.60038,21.3682,45.22781,21.92569,15.59487,70.08133,46.48047,24.82974,8.58749,9.57952,36.01992,68.52273,28.70948,19.43616,41.52739,67.6592,46.62093,24.60883,26.91206,48.86509,19.43882,21.08904,37.93634,18.96684,10.01666,35.3011,31.76106,35.39556,48.4324,13.16344,21.34739,59.00289,74.52961
