Abundance,SAMN08049672,SAMN08049695,SAMN08049714,SAMN08049741,SAMN08049706,SAMN08049711,SAMN08049696,SAMN08049774,SAMN08049635,SAMN08049632,SAMN08049768,SAMN08049646,SAMN08049737,SAMN08049675,SAMN08049730,SAMN08049630,SAMN08049621,SAMN08049679,SAMN08049628,SAMN08049704,SAMN08049757,SAMN08049735,SAMN08049686,SAMN08049725,SAMN08049747,SAMN08049661,SAMN08049731,SAMN08049629,SAMN08049770,SAMN08049709,SAMN08049745,SAMN08049634,SAMN08049693,SAMN08049698,SAMN08049697,SAMN08049655,SAMN08049775,SAMN08049699,SAMN08049623,SAMN08049759,SAMN08049669,SAMN08049729,SAMN08049749,SAMN08049776,SAMN08049717,SAMN08049716,SAMN08049740,SAMN08049666,SAMN08049761,SAMN08049739,SAMN08049754,SAMN08049712,SAMN08049701,SAMN08049636,SAMN08049760,SAMN08049744,SAMN08049746,SAMN08049660,SAMN08049772,SAMN08049631,SAMN08049733,SAMN08049755,SAMN08049642,SAMN08049644,SAMN08049756,SAMN08049674,SAMN08049773,SAMN08049718,SAMN08049764,SAMN08049688,SAMN08049670,SAMN08049687,SAMN08049627,SAMN08049752,SAMN08049734,SAMN08049763,SAMN08049622,SAMN08049668,SAMN08049722,SAMN08049692,SAMN08049707,SAMN08049727,SAMN08049650,SAMN08049648,SAMN08049762,SAMN08049640,SAMN08049677,SAMN08049682,SAMN08049719,SAMN08049671,SAMN08049685,SAMN08049736,SAMN08049691,SAMN08049656,SAMN08049765,SAMN08049724,SAMN08049684,SAMN08049618,SAMN08049750,SAMN08049700,SAMN08049681,SAMN08049738,SAMN08049715,SAMN08049659,SAMN08049645,SAMN08049619,SAMN08049683,SAMN08049702,SAMN08049651,SAMN08049690,SAMN08049637,SAMN08049751,SAMN08049643,SAMN08049766,SAMN08049680,SAMN08049723,SAMN08049676,SAMN08049641,SAMN08049767,SAMN08049620,SAMN08049720,SAMN08049728,SAMN08049713,SAMN08049647,SAMN08049721,SAMN08049705,SAMN08049703,SAMN08049710,SAMN08049625,SAMN08049748,SAMN08049664,SAMN08049624,SAMN08049708,SAMN08049649,SAMN08049662,SAMN08049732,SAMN08049743,SAMN08049633,SAMN08049758,SAMN08049742,SAMN08049657,SAMN08049654,SAMN08049658,SAMN08049694,SAMN08049726,SAMN08049665,SAMN08049678,SAMN08049626,SAMN08049653,SAMN08049652,SAMN08049771,SAMN08049753,SAMN08049673,SAMN08049663,SAMN08049667
k__Bacteria,100.0,100.0,100.0,99.98755,99.99614,99.99294,100.0,100.0,100.0,100.0,99.84507,100.0,97.44762,99.97197,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9778,96.88386,98.31125,99.49643,99.96315,99.87287,100.0,100.0,100.0,100.0,99.68169,100.0,100.0,100.0,99.92493,99.98406,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.94581,97.76911,100.0,99.88741,100.0,100.0,97.9271,100.0,100.0,100.0,96.85321,99.99475,98.91235,100.0,98.69809,100.0,99.97901,100.0,100.0,100.0,100.0,94.52037,99.58752,100.0,100.0,99.90726,100.0,100.0,99.97268,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.07,98.33023,100.0,100.0,100.0,99.98676,100.0,99.98425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.811,100.0,99.89059,100.0,100.0,100.0,99.99854,100.0,100.0,99.91804,99.42786,100.0,100.0,99.93089,100.0,100.0,99.97719,100.0,100.0,100.0,99.42498,100.0,100.0,100.0,98.56254,100.0,100.0,100.0,99.52455,100.0,100.0,100.0,100.0,99.88263,100.0,100.0,98.89585,100.0,100.0,100.0,100.0,100.0
p__Firmicutes,86.69471,59.55183,92.66735,44.53821,56.5706,83.62649,35.11519,37.03039,84.97421,86.66047,65.63779,60.64989,50.09925,64.54138,37.41944,55.12321,70.19493,71.60644,80.12599,50.18075,48.15853,57.34466,57.90704,67.89352,67.3777,69.76472,67.91094,55.05263,76.22658,81.64847,57.20102,74.30263,51.76721,36.91713,86.0555,81.9631,62.00681,89.18596,50.77371,38.43125,22.02174,16.82133,53.94376,49.38966,79.57196,64.08169,50.08611,82.96944,46.68186,66.76203,44.04816,80.51972,65.50311,77.38688,79.65493,53.3583,72.04812,93.23871,46.59438,47.48584,64.72541,1.15863,59.245,78.89721,74.45488,54.80142,93.10743,70.00459,79.4826,96.53678,70.99827,74.41291,73.35858,87.49702,61.07126,34.9834,86.42145,41.27005,82.98379,97.97148,73.92104,69.56045,68.81304,78.71621,58.15059,84.40958,67.75944,66.6602,99.5496,54.15027,55.50659,54.41654,70.53286,89.20589,71.29766,77.10335,60.17285,37.17409,59.55575,43.95922,66.55279,56.36991,85.53276,80.70355,57.70078,81.7587,84.50979,72.89243,98.41217,76.76613,63.04366,58.71164,70.97274,55.18584,99.91031,66.737,50.55871,67.55491,54.29418,35.88001,39.70035,27.44834,80.91957,70.04761,79.7582,53.68578,76.44731,86.30852,44.8374,96.97861,27.05507,97.60476,97.08986,77.9918,72.46964,72.35143,73.96993,71.29914,72.28613,46.97601,85.42382,60.28429,65.82603,75.48207,48.93678,87.95914,51.5059,71.13431,56.85813,70.00686,30.63516,41.36413,80.19741,95.48788,98.1829
p__Actinobacteria,12.53725,0.64579,0.08123,0.90948,3.89791,12.73009,0,0.56288,11.88161,10.39964,2.62306,16.51923,8.37758,1.39553,6.04794,3.81194,0.869,2.38675,8.4977,48.3065,4.83265,3.67016,10.01523,4.91636,3.61854,8.29909,8.91696,43.89943,4.23605,8.52306,12.40099,5.47286,7.9973,6.62741,5.87273,3.95347,3.46201,8.33225,9.13385,6.63317,18.47074,0.40334,0.06797,7.73457,4.0617,8.6955,3.71348,8.35789,52.90967,1.83095,3.69207,4.33983,4.564,15.10849,2.70961,0.79936,0.95907,2.68006,29.27995,4.38845,4.77079,0.11019,8.39093,1.99162,13.3895,9.10725,5.6037,11.60735,6.49803,1.54356,6.91968,15.42732,13.62796,0.55278,6.20954,5.0962,3.26107,0.42832,2.82565,1.44327,0.98712,8.02328,12.94288,6.60117,9.22407,13.82163,22.35623,4.92566,0.37118,2.856,6.99875,3.00974,25.27046,8.37183,4.27506,2.96754,8.7457,1.60741,2.11435,6.3284,27.48346,2.69442,13.86424,11.40908,8.88061,1.73491,7.73573,20.30923,1.25424,6.05751,35.76206,1.88905,3.10725,4.47138,0.07086,0.98518,2.0552,28.87601,1.07783,11.45279,14.63745,0.0755,5.74569,11.41699,19.74851,1.56317,0.90973,0.2121,4.15424,1.57489,0.41734,0.11809,0.82283,18.67382,0.4799,24.71029,3.49411,10.44015,24.84924,11.84987,0.87716,6.0861,17.45297,1.99741,8.15229,4.76777,10.66852,1.76034,39.95157,5.88121,19.12956,3.93433,14.6704,1.59268,0.02656
p__Proteobacteria,0.68395,14.78862,2.07509,3.0984,38.08656,0.20275,1.0019,0.57856,0.40468,0.40126,4.67131,0.29927,1.82628,1.08435,4.4928,3.38053,3.07404,1.21128,3.39325,0.0275,1.82824,1.62302,1.61943,1.99628,0.00631,1.20778,2.04802,0.03973,9.09756,0.22789,2.33694,1.56509,4.8046,1.29545,5.301,0.25331,1.62777,0.76314,0.00357,2.13623,4.58584,11.97863,34.92854,3.71112,0.09808,2.35078,12.72301,0.84314,0.18988,1.5509,3.90841,0.19231,2.08741,0.71174,3.89411,8.73185,2.78637,2.58344,1.01018,8.37484,1.14722,34.22136,0.79072,0.87933,0.33103,9.4435,1.28887,1.22117,0.9771,0.19534,3.15842,0.50111,12.68818,11.86381,3.71484,3.92068,2.24513,32.96746,0.69765,0.51977,2.70818,7.76416,0.30833,0.94492,0.61815,0.03169,3.14566,1.06876,0.01196,5.29346,0.12133,1.15503,0.12486,0.1359,2.32845,0.02474,1.82013,0.00699,0.61535,29.80856,0.21893,2.13881,0.13913,0.22153,1.02009,0.61404,1.70311,0.30724,0,0.84318,0.21526,39.14009,10.85849,2.97896,0.00417,2.97502,43.74347,2.44553,4.75623,1.86849,3.66893,72.35902,0.39372,0.8262,0.48928,0.29268,0.38908,0.24313,3.25941,1.1963,5.31517,2.22817,2.06118,0.23687,7.87259,2.92361,3.68213,0.97802,2.77423,1.71103,0.53191,0.94025,0.94514,0.38907,1.12878,1.31521,0.69249,0.06927,0.38251,3.62333,2.95771,2.18935,0.28665,1.3119,1.28027
p__Bacteroidetes,0.06934,25.01376,5.02612,51.4296,0.02648,2.90339,9.66842,61.79604,2.73949,2.49388,25.90247,16.12501,27.88822,30.72269,52.02797,37.31473,25.86203,22.13404,7.89453,1.48525,45.1783,36.555,11.59901,23.13554,26.82627,18.98785,19.42093,0.75079,10.4398,9.60058,27.99512,16.88388,32.05624,54.64387,2.73189,13.75505,32.88746,1.71793,40.01832,52.79934,43.27186,70.79559,0.05972,37.28685,16.26826,24.87203,32.0018,5.24239,0.21858,23.61497,48.33149,13.97778,23.77891,6.7929,13.74136,36.79889,18.57844,1.49252,22.02555,39.39412,27.94847,64.35885,31.23162,13.25127,11.80732,26.64783,0,10.55219,8.20521,1.72432,18.90909,8.67744,0.2687,0.05642,23.25098,55.99971,6.48452,25.33162,13.40002,0,0.01229,14.60942,15.99162,12.80769,28.44995,1.73251,6.64239,15.76424,0.05402,36.19773,7.28147,41.41225,4.07182,2.26792,22.09882,19.79798,29.15294,57.51813,37.71455,19.90381,5.74482,38.78322,0.46387,6.90502,23.73203,15.89234,4.49172,0.43745,0.3336,9.7464,0.97903,0.25554,14.63222,36.10462,0.01466,28.5724,0.80114,1.12354,39.87176,31.85334,41.99326,0.11714,8.87394,4.11329,0.00401,44.45338,21.69555,13.22571,47.74788,0.18014,20.50593,0.04518,0.02613,1.78854,0.02112,0.01467,18.8499,10.00954,0.05666,39.14756,13.11363,32.0153,12.8837,21.98169,41.0959,5.9563,28.36529,27.01225,2.80779,19.09612,47.27225,9.7224,4.84554,0.06106,0.00404
p__Fusobacteria,0.01475,0,0.14298,0,0.60512,0,54.2145,0,0,0,0.01102,0,0,0,0,0.00047,0,0,0,0,0,0.02587,0.03472,0,0,0,0.07699,0,0,0,0,0.66194,0,0.51615,0,0,0,0,0.00376,0,2.68238,0.00019,10.98209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0.01726,0,0,0,0,0,0.01455,0,0.04471,0.00057,0.00058,0,0,0,0.09289,0.06547,0,0.02147,0,0,0,0,0,1.93882,0,0,0,0.00033,0,0,0,0,0,0,0,0,0,0.01364,0,0,0,0,0.26513,0,0,0.22455,0,0,0,0,0,0,2.7982,0,0,0.00849,0,0,0,0,0,0.00499,0,0,0.00012,0,4.92511,0,0,0,1.3056,0,0,0,0.0093,0,0.05347,0,0,0,0.00025,0,0.0006,0,0,0,0,42.78684,0,1.54616,0.50623
c__Clostridia,78.55151,42.71735,83.19052,40.22983,7.18168,56.98605,5.04487,33.84486,56.60065,72.79077,54.60857,56.02179,32.35198,41.28869,29.54839,49.76846,53.68542,65.53299,73.65309,36.32281,38.93167,53.69707,43.50874,50.69183,57.77946,54.73297,56.04776,49.18606,64.58737,74.39868,50.16546,62.72598,41.32122,32.81093,47.87593,56.09321,58.95211,76.5844,28.52049,35.72927,5.06788,15.34082,0.06387,47.36979,67.29808,57.56564,41.61218,58.55015,39.46766,56.31133,20.70738,66.13446,57.18777,71.7833,71.97997,47.73363,38.29313,85.35879,23.32779,41.14581,48.40355,0.21776,54.02144,71.01592,69.15882,40.57195,66.60039,48.35325,38.04879,2.83744,69.41532,53.76025,68.66155,79.25764,39.03424,20.02894,68.45993,35.33598,62.07802,89.1392,66.30592,48.60157,58.64892,71.76879,40.66197,67.89276,44.02188,33.76072,0.04434,35.63927,39.42026,35.41353,59.89498,78.46563,47.86159,58.99683,49.95862,27.52185,48.40111,34.44565,62.80899,50.45753,70.2602,68.75294,53.78007,57.16145,63.85702,66.12431,95.89374,55.04678,56.49313,56.17722,61.82404,26.5136,0.02213,55.33925,34.17473,12.03741,50.85252,25.47116,32.63692,0.10846,66.73332,59.46646,59.64892,43.31465,64.13579,48.61497,34.51898,90.34447,16.11321,70.30764,81.75062,67.05668,53.57124,34.52698,69.82243,58.73849,29.14281,38.89378,79.5189,55.50807,49.43436,67.15885,39.29665,63.60765,42.58509,58.94975,40.3588,46.66885,17.09762,38.66291,76.81469,86.34831,57.91257
c__Actinomycetia,7.5,0.26098,0.08123,0.37845,3.7897,9.57328,0,0.00334,10.78494,9.52166,1.26232,10.25229,2.11162,0.00595,3.60828,1.15616,0.24473,0.09546,5.36442,17.75119,0.31632,1.21951,1.66244,1.72404,0.57744,2.79986,1.71916,34.60525,3.77562,7.61971,10.15996,0,3.96341,4.81403,1.8156,0.0769,0.3493,0.96985,9.08662,1.46471,14.57875,0.25083,0.06797,0.82696,0.00098,5.08823,1.44377,5.05607,52.70125,0.06518,0.29254,2.41376,2.01882,9.53758,2.58922,0.21354,0.23659,0.66292,20.77083,0.53659,3.25539,0.03903,3.67037,0.79028,12.64509,8.91986,3.92186,0.28116,4.75703,1.20289,6.52883,6.70721,12.94238,0.08414,2.66315,1.26267,0.42455,0.03194,2.23683,0.1775,0.96599,6.17842,7.03662,0.05697,5.98258,7.56958,9.99597,0,0.37118,1.59352,4.26154,1.56817,18.17049,2.00638,4.27506,2.37474,1.92813,0.01178,2.10297,5.61868,20.05283,1.08716,8.72159,8.5293,6.21808,0.3698,2.82773,17.65175,1.25424,1.74247,22.15103,0.43331,0.55465,0.87661,0.07086,0.01149,2.0552,27.81589,0.40211,7.78727,12.58435,0.06981,1.5486,0.97816,18.6583,1.09452,0.09911,0.13741,0.01579,0.20389,0.40731,0.11425,0,9.97173,0.37765,24.65271,1.68219,2.89799,24.80923,9.16608,0.11419,0.00266,11.1446,1.27419,5.02603,3.97754,3.32193,0.20759,34.14041,1.28727,10.62147,3.21095,13.29746,0.10052,0.02656
c__Coriobacteriia,5.03725,0.38481,0,0.52391,0.10821,3.15681,0,0.55953,1.09668,0.87798,1.36074,6.20991,6.26596,1.38958,2.43966,2.65577,0.62427,2.17066,2.63304,30.55531,4.31868,2.3236,8.31368,2.84787,3.0411,5.49923,6.83108,9.29418,0.46044,0.90335,2.24103,5.43098,4.03389,1.81338,4.05713,3.87658,2.96802,7.36239,0.04723,5.16846,3.89199,0.13011,0,6.82481,3.86834,3.60727,1.38324,3.30182,0.20842,1.76577,3.39952,1.92607,2.54518,5.57091,0.12039,0.58582,0.72247,2.01714,8.37023,3.85186,1.35852,0.07116,4.72056,1.20133,0.7444,0.18739,1.68184,10.6021,1.74101,0.34067,0.39084,8.72011,0.68558,0.46864,3.23573,3.77221,2.83652,0.39637,0.53681,1.26578,0.02113,1.84487,5.90626,6.5442,3.24149,6.25204,12.2748,4.84266,0,1.26248,2.7372,1.4058,7.09996,6.00516,0,0.59281,6.81756,1.59563,0.01137,0.70973,7.43062,1.60726,5.14265,2.87978,2.66253,1.36511,4.90801,2.65748,0,4.31504,13.61102,1.45574,2.12998,3.59477,0,0.9737,0,1.06013,0.67571,3.66552,2.05311,0.00569,4.19709,10.43884,1.0902,0.46865,0.81062,0.07469,4.13844,1.371,0.01003,0.00384,0.82283,8.70209,0.10225,0.05758,1.81192,5.24127,0.04001,1.9191,0.68721,5.55918,6.30837,0.72322,3.12626,0.79024,6.77662,1.55275,5.05245,3.80299,6.83956,0.72339,1.37294,1.49216,0
c__Negativicutes,4.09497,7.92401,1.18368,0.89076,4.51926,7.22866,1.6324,2.64811,13.30401,8.27054,1.35291,1.27046,0.47146,1.10296,6.95286,0.72655,2.51916,2.72115,2.43798,0.0059,2.1954,0.74186,0.12325,1.76038,0.12887,3.28863,1.721,0.55377,0.14765,1.77061,6.28571,1.45843,9.14402,1.69599,34.70984,5.18631,2.14892,0.00505,5.99941,1.3513,14.63743,0.13699,28.13044,0.36881,5.35519,1.92421,1.57525,5.5454,4.32505,1.69803,20.2308,0.02142,1.1253,2.2913,5.92559,2.30477,0.37201,5.22759,3.52103,2.14581,1.43764,0,1.74831,1.80215,0.33831,8.66722,1.6463,1.76577,0.60698,0.37036,0.07989,7.38466,0.05371,0.06118,1.43897,13.40749,15.65654,4.70434,6.71923,2.31964,6.18085,2.87267,1.99521,1.2554,0.47757,3.54216,21.52621,30.54652,0.00275,2.72625,0.80372,3.77527,3.63015,3.28068,1.49697,7.93755,6.62116,4.96233,9.35367,0,1.25107,2.04821,6.14642,3.34676,2.31465,3.08042,6.12927,0.61614,2.18208,12.05958,1.77418,0.7775,2.61575,1.01981,0.0077,0.28789,7.2941,40.96778,2.44252,1.98885,4.85467,10.06039,0.16496,0.94826,1.15145,3.20317,3.89444,0.20708,1.26562,0.76447,8.01468,1.73927,0.00676,0.71432,7.88306,0,0.72098,2.12305,0.32654,3.526,4.88041,1.08576,2.96832,4.17762,0.52113,19.3193,1.26083,6.63314,2.4666,4.19906,11.04326,0.3026,1.79674,7.52659,21.35561
