Abundance,CSM7KOR4,CSM5MCU4,PSM6XBVY,CSM79HJC,HSM7CZ2V,HSM5MD4P,PSM6XBTJ,CSM5MCVB,PSM7J1BN,PSM6XBTH,HSM5MD4W,HSMA33NG,CSM5MCXZ,MSM5LLH2,MSM5LLF2,CSM5MCV1,PSM7J1CK,CSM67UB5,CSM67UH3,MSM5LLHG,HSM5MD4U,CSM5MCVD,CSM5MCVF,ESM5GEYX,PSM6XBS2,HSM5MD7W,CSM5FZ3V,PSM6XBS4,MSM9VZM4,MSM5LLGN,CSM79HJI,PSM7J1CS,MSM5LLI2,CSM79HJ6,CSM5FZ46,PSM7J13U,CSM67UCU,HSM5MD8J,CSM5FZ3R,MSM5LLIC,MSM5LLI4,CSM5MCV5,CSM5MCW4,MSM5LLGR,MSM5LLII,HSM5MEE5,HSM67VCX,PSM6XBS6,HSM5FZBP,PSM6XBTN,MSM5LLHR,CSM67UB7,ESM718U9,MSM5LLIG,HSM5FZBR,HSM5MD8F,MSM5LLD6,ESM5GEYW,MSM633FF,ESM7F5AE,CSM7KOR8,HSM6XRQB,MSM5LLHQ,PSMA2651,ESM5ME9D,CSM79HJ8,MSM5LLHE,MSM5FZ9X,MSM5LLHI,PSM7J149,CSM79HJ2,CSM5FZ42,CSM7KOQP,HSM5FZC2,HSM5MD5K,MSM9VZLX,CSM5MCVZ,HSM7CYWS,CSM5MCWK,CSM79HHW,CSM5MCWI,CSM67UAI,HSM5MD5X,CSM7KOQZ,CSM5YRY7,CSM7KOKP,MSM5FZ9Q,ESM5GEYY,MSM5LLIM,MSM5FZ9V,MSM5LLIK,MSM5LLGD,MSM5LLE9,MSM5LLHX,MSM5LLI8,HSM7J4JW,MSM5LLIE,CSM5MCWA,CSM5MCXF,PSM7J13Y,CSM7KOKH,ESM5MEBA,MSM5LLGJ,CSM79HJ4,MSM5FZ9N,ESM5MEDP,PSM6XBQM,MSM5LLFG,MSM5LLGH,CSM79HNY,CSM67UB9,ESM5MEE2,CSM67U9V,CSM5MCVJ,MSM79HBX,CSM5FZ3Z,CSM5FZ3X,PSM7J1B3,PSM6XBRM,MSM5LLHA,HSM5FZBQ,MSM9VZJJ,ESM5ME9G,HSM7J4Q3,PSM6XBRK,CSM5MCXX,ESM5MEE6,HSM5MD4B,ESM5MEDZ,HSM5MD4A,CSM5FZ44,MSM5LLI6,PSM7J1CO,CSM5LLGB,CSM79HG7,ESM5MEB9,HSM5MD5H,MSM5LLGF,CSM5MCVV,MSM5ZOJY,CSM79HH2,MSM6J2RG,MSM5LLE3,PSM7J143,CSM5FZ3T,HSM5MD3L,MSM5LLH8,HSM5MD7Z,PSM6XBTF,CSM5FZ3N,MSM5LLHO,CSM67U9X,MSM5LLIS,CSM5FZ4C,CSM7KOKL,HSM67VIJ,MSM5FZA2,HSM5MD49,MSM5LLH4,PSM6XBSC
k__Bacteria,100.0,100.0,99.67796,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92954,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9812,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95029,100.0,99.86667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.94407,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99476,100.0,100.0,100.0,100.0,100.0,99.97119,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96991,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95843,100.0,100.0,100.0,99.99033,100.0,100.0,100.0,100.0,99.89973,100.0,100.0,99.97171,100.0
p__Bacteroidetes,86.00518,79.4865,67.90387,65.85841,86.63251,73.72263,27.00858,89.10809,5.59646,62.72215,84.42534,88.66418,70.39614,45.58196,6.12953,80.9296,66.50839,81.66313,86.50567,77.57286,75.46362,85.59102,78.56461,35.63342,63.02545,94.74368,76.33926,28.07336,81.0716,89.78027,79.46414,69.733,83.81047,61.19281,92.16575,83.48196,85.06632,68.37273,87.4021,27.12257,58.28642,74.00415,85.37938,78.7831,95.87193,83.0653,91.74418,81.0541,93.36287,62.63408,68.64792,84.99733,55.03429,76.75754,96.51747,66.11525,67.22198,21.76779,0.0448,76.99382,81.50254,49.7191,78.84603,74.75561,73.8145,66.40563,49.80625,13.81086,83.15507,86.97333,78.84718,76.02358,0,93.52372,96.17456,85.63318,88.82522,73.25485,74.02203,82.75253,88.85995,0,50.82263,81.47366,90.47654,81.62009,7.11584,71.42153,79.33567,37.82341,79.0287,57.80404,4.19605,54.50112,87.73885,64.12647,74.84804,12.02371,60.33698,79.37585,90.04835,66.88404,40.79135,90.86299,1.75252,87.481,68.08259,67.36219,59.78553,75.74565,92.0899,68.72257,83.74689,89.98383,67.47753,83.48665,89.89335,43.59839,83.47864,84.97016,96.1761,74.04067,74.99158,47.48018,72.74466,67.49236,52.10629,48.98764,72.03216,18.85116,85.88542,85.19417,90.59671,47.3905,63.69452,81.57902,88.8919,54.67133,77.13117,1.72161,72.75337,68.86424,6.26723,83.85546,88.8059,43.46282,80.6981,83.07974,71.4576,78.11057,73.03544,80.56143,90.08978,71.27697,81.97305,56.25163,20.57953,42.66455,79.56126,60.47505
p__Firmicutes,12.90664,19.2936,23.69586,32.42818,12.05382,25.12215,69.7516,0.8937,58.18433,35.53885,15.00518,9.80115,28.99916,17.13872,87.84367,8.15508,26.1552,13.82285,13.49433,19.34887,23.24916,10.13072,11.604,61.60202,35.33879,4.93488,7.62007,66.33872,18.3438,9.65213,14.84179,28.63376,14.65461,27.82849,3.87522,6.34347,14.48732,21.09848,12.05936,60.23477,40.43807,24.10398,14.15034,20.16495,3.86854,15.62744,6.00751,18.9459,5.20718,35.45143,27.80267,11.02869,13.06923,22.01624,2.92011,32.04595,30.33012,75.89435,97.34786,20.09077,17.23199,50.185,19.63936,24.77213,25.39419,29.59804,33.88657,75.07778,11.94244,13.02667,17.67236,20.29871,75.86864,5.32103,3.54654,12.788,10.19846,25.56262,24.82906,16.57764,9.74669,81.83828,43.56333,14.71736,6.67333,17.07963,35.23165,21.27407,18.99473,38.41473,19.67896,40.59125,78.83773,43.3162,11.1903,33.95743,19.94293,76.23835,36.90437,17.77953,8.46808,31.47151,56.63658,4.91552,68.73927,9.48937,29.65279,31.14602,37.52206,22.15607,7.87961,30.7627,16.07771,6.21425,11.74032,12.59248,4.53599,6.24645,13.40064,8.86347,3.8239,19.23353,24.13245,50.43106,20.53522,30.12161,46.56032,43.80242,27.0627,68.84143,9.47133,13.08584,9.40329,49.78915,35.12959,15.48215,7.56537,43.24336,19.56262,89.25657,13.58801,31.00223,63.01843,13.83282,8.76968,50.16671,4.57851,16.12988,26.43204,21.61282,19.99311,17.5452,5.50817,12.54254,13.7178,41.59775,74.19706,51.71301,8.45512,37.3877
p__Proteobacteria,1.08818,1.2152,0.99838,1.67559,1.15245,0.90253,2.14985,4.84711,33.8064,1.13429,0.37889,1.53467,0.53424,3.63436,3.5874,6.27992,7.05699,4.51402,0,1.68043,1.17346,0.09474,0.01488,2.23981,0.95748,0.2158,0.0206,2.23925,0.58459,0.55234,5.42684,0.60848,0.99513,3.00921,3.95903,7.21456,0.40173,1.67862,0,9.35171,0.59214,1.59118,0.36102,0.93561,0.25954,1.25695,0.4327,0,1.42927,1.60257,3.21267,3.97112,6.99677,1.14394,0.55034,1.38514,0.96473,1.80201,1.75344,1.13574,1.26547,0.03894,0.98844,0.34284,0.67862,3.92045,9.02966,2.889,2.88796,0,3.41882,3.60844,24.13136,1.15525,0.21706,1.53213,0.97052,0.69438,1.07784,0.55351,0.41369,18.16172,4.52421,3.80899,0.05028,1.2485,57.56738,7.20708,0.69313,0.72122,1.25682,0.75252,16.52587,0.76176,0.57332,1.83286,5.05225,10.69412,2.71594,2.28401,1.45855,1.64445,1.42365,4.20899,29.45187,0.19093,2.25518,1.09369,2.13408,0.12302,0,0.5014,0.16888,3.80046,12.29083,3.9034,5.57066,48.42872,3.09483,1.34998,0,3.92215,0.87596,1.24843,4.57624,2.16862,1.26664,7.00167,0.90514,2.35282,4.63074,0.91523,0,2.38074,0.00921,2.50526,3.54027,0.74895,1.13825,8.90434,3.62456,0.13353,30.55883,0.99869,2.42442,5.30231,1.20643,0.44237,1.02699,0,3.06385,1.86368,1.39571,0,4.26763,1.58818,3.84499,5.43987,1.08876,2.01537
c__Bacteroidia,86.00518,79.4865,67.90387,65.85841,86.61295,73.71221,27.00858,89.10809,5.59646,62.72215,84.42534,88.66418,66.10709,45.53402,6.07633,80.9296,66.50839,81.66313,82.64007,77.57286,75.46362,85.48687,78.56461,34.41892,63.02545,94.74368,76.33926,28.07336,81.0716,89.78027,79.46414,69.733,83.81047,44.96729,92.16575,83.48196,85.06632,66.71732,87.4021,27.12257,58.28642,74.00415,85.37938,78.73324,77.72138,83.0653,91.74418,81.0541,93.36287,62.63408,67.73326,84.99733,55.03429,67.34683,96.51747,66.11525,67.22198,21.6678,0.0448,76.92158,81.50254,49.7191,78.84603,74.75561,73.8145,66.40115,49.80625,13.81086,83.15507,86.97333,78.84718,76.01128,0,93.52372,96.17456,85.63318,88.82522,73.25485,72.602,82.75253,88.85995,0,50.82263,81.47366,90.47654,81.62009,7.11584,65.25029,72.64013,37.82341,77.52026,57.80404,4.19605,54.50112,87.73885,64.12647,72.57155,12.02371,60.33698,79.37585,90.04835,66.88404,40.79135,90.86299,1.75252,87.481,68.08259,67.36219,59.78553,75.74565,92.0899,68.72257,83.74689,89.98383,67.4464,83.48665,89.89335,43.40458,83.47864,81.46365,96.1761,74.04067,74.99158,47.48018,72.74466,64.73005,52.10629,48.98764,72.03216,18.85116,85.88542,85.19417,90.59671,47.3905,63.69452,81.56408,88.8919,54.67133,77.13117,1.72161,72.75337,68.86424,6.26723,83.85546,88.8059,43.46282,75.9591,83.07974,71.4576,78.11057,73.03544,80.56143,83.22044,71.27697,81.97305,49.70329,20.57953,42.66455,75.65445,60.47505
c__Clostridia,11.94433,16.68048,18.8555,30.51394,8.74015,24.02315,68.84716,0.72403,53.6731,33.37799,12.30274,4.53283,26.69839,15.69248,52.2525,8.00691,22.86554,12.4817,0,18.14989,18.43228,6.98319,8.73193,32.39408,33.36233,4.31412,5.70115,65.47068,18.3438,8.90832,12.33253,24.00878,14.20414,24.13312,3.12724,5.07652,13.78376,15.64222,9.1572,46.83702,39.82997,21.87614,10.51089,18.03978,3.86854,13.37556,2.75411,18.9459,3.72074,31.54035,26.84028,9.70611,11.25949,21.74296,0.94199,27.67186,27.46328,66.90324,90.51848,12.47124,15.88772,48.95648,18.89468,20.98013,23.73966,26.63197,29.246,65.25393,11.27439,13.02667,16.83922,17.69956,57.61138,3.69575,2.26806,9.78659,7.61172,23.66477,22.33105,14.41503,8.54188,74.04586,31.13617,13.79046,6.26141,14.30012,31.2598,15.33412,18.40279,38.41473,19.61521,38.79633,76.34522,42.2736,10.73374,29.65698,19.64854,44.88526,32.06313,16.7285,7.63385,22.15428,55.471,2.93156,59.07729,9.05441,24.10357,29.95674,36.59248,19.58637,7.09818,25.3971,13.82648,5.49279,9.41807,9.06793,4.53047,4.50312,10.10369,7.78989,1.95136,13.48126,19.96079,46.76626,15.09029,25.90693,40.09817,30.96197,25.81918,64.02049,7.79274,12.2607,9.40329,46.18518,25.75135,13.15102,4.63566,42.29357,17.02831,82.1556,4.79684,27.9819,58.63013,13.795,6.02893,45.05504,3.87316,14.60231,24.62055,19.79783,17.74877,15.39832,5.30631,9.40805,11.86399,33.55519,64.33675,46.23129,7.37217,35.49353
c__Betaproteobacteria,0.921,1.03365,0.25088,1.60842,0.72014,0.19979,2.14985,0.98348,0,1.11911,0,1.30976,0.38282,3.39555,0.21348,0.33805,7.05699,1.46748,0,0.93166,0,0.08382,0,0.29933,0.95748,0.13926,0,2.23925,0,0,0.25627,0.60848,0.94214,0.51421,3.67021,7.21456,0.20429,0.96345,0,2.25734,0.52002,1.26627,0.29791,0,0.25954,1.0492,0.4327,0,0.21078,1.50575,1.45941,1.6708,2.25465,1.04041,0.46128,0.51687,0.88494,0.27677,0,0.96364,1.09623,0,0.94707,0,0.37532,0.95695,1.30818,0.04021,0.37536,0,3.35569,3.59021,0,0.99212,0.15441,1.20293,0.88315,0.66518,0.43876,0.44026,0,0,4.29082,1.34727,0,0.72133,41.09462,0,0,0,0,0,16.39002,0.70633,0.473,0.96566,0.90922,0.09398,2.60527,2.28401,1.33146,1.41641,0,1.15153,21.73834,0.18473,1.55899,0,0,0.12302,0,0.30861,0,3.59302,3.9963,3.49849,4.63718,36.16997,2.92853,1.06631,0,0,0.73324,0.98376,4.44742,0.81997,0.91256,1.56701,0.61218,2.2184,4.63074,0.77037,0,0,0,1.189,1.24248,0,0.03595,0,1.96978,0,29.81785,0.99869,2.42442,3.78034,1.03465,0.2093,1.02699,0,0.80187,1.30555,1.29645,0,1.7617,0.04724,0,3.86979,0.76789,2.01537
c__Negativicutes,0.87907,1.26448,3.98984,1.64898,1.84972,0.93693,0.90443,0.09083,3.62787,1.60624,1.96547,4.58663,0.60256,0.14373,30.00814,0.09846,1.95896,0.85323,0,0.45216,4.39993,1.69928,1.86321,2.79234,1.8099,0.62076,1.69663,0.52513,0,0.55093,2.11489,0,0.16434,1.03946,0.47466,1.26695,0.41264,0.29436,1.83492,2.32899,0.34749,0.42731,0.34617,1.04701,0,1.00068,0.2112,0,1.43048,3.03133,0.70401,0.97559,1.80973,0.2649,1.97812,3.97629,2.54678,1.17382,0.77851,2.94492,1.1363,0,0.52798,1.38669,0.75794,2.09235,3.03481,8.64896,0.12821,0,0.49628,1.80323,13.48764,1.62529,1.27849,2.49676,0.56264,1.6389,1.38708,1.25595,0.63708,2.86559,4.31089,0.85767,0.23119,1.81063,3.17993,3.97751,0.17423,0,0,0.99716,2.27115,0.83759,0.20376,3.58593,0.17414,31.31501,4.3625,0,0.78751,4.50771,0.65786,1.7155,8.38233,0.22127,4.84257,0.82673,0.60247,2.04526,0.77389,1.052,0.14889,0.12142,0.27513,2.77092,0.00339,0.86737,2.63983,0.17641,1.87254,4.80688,3.60762,1.11049,3.24846,2.72118,2.61874,12.77295,0.65164,4.35276,1.56748,0.37269,0,1.32063,2.5113,0.18467,2.92971,0.58814,0.52727,2.1856,8.51094,3.02033,1.7776,0,2.3043,3.507,0.28599,0.61303,1.55087,1.15919,1.53485,1.57666,0.09267,1.59255,1.24398,4.38699,3.28723,4.21533,0.42664,1.58264
c__Gammaproteobacteria,0.1056,0.1304,0.59798,0.03988,0.15993,0.70274,0,3.86363,33.8064,0,0.37889,0,0.10991,0.23682,3.37392,5.94187,0,0.03813,0,0,1.11364,0.00933,0.01488,1.84585,0,0.07592,0.0206,0,0,0.01743,5.09268,0,0.02449,0,0.28882,0,0.09158,0.33928,0,0.11557,0.04733,0.17612,0,0.0762,0,0.19705,0,0,0.54897,0.08157,0,0.01136,3.9831,0,0,0.70522,0.07979,0.25112,0.12823,0.13312,0.04178,0.03894,0.04137,0.07749,0.16671,0.05805,0,0.40865,0,0,0,0,24.13136,0.04922,0.06266,0.06698,0,0,0.17388,0,0.41369,18.16172,0.22561,0,0.05028,0.06274,16.47275,4.00801,0,0,0,0.06635,0.13585,0.05385,0.0763,0.04598,0,10.57136,0.11067,0,0.01774,0.07744,0.16964,0,7.71353,0,0.60333,0.06158,0.19545,0,0,0.18454,0.12901,0.20744,0.01475,0.40491,0.93348,12.13193,0.12954,0.21017,0,2.27385,0.03394,0.26467,0,0.49077,0.28136,1.61618,0.13868,0.13442,0,0.07643,0,0.2561,0,1.09337,0.0235,0.06739,1.10229,1.59479,0.24422,0.06965,0.74098,0,0,0.14822,0.07803,0.14604,0,0,0,0.00552,0.01242,0,0.0485,0.49506,1.17647,1.57008,0.20125,0
c__Erysipelotrichia,0.08324,0.62461,0.08489,0.18017,0.14727,0.09311,0,0,0.88337,0.0165,0.1251,0.00492,0,1.05115,1.27465,0.04971,0.15527,0.11851,0,0,0.41695,0,0,0.02317,0.03,0,0,0.3324,0,0.08336,0,0.07479,0.07337,0.07095,0,0,0,0.05325,0.0014,0.01008,0.03897,0,0.32653,0.12004,0,0,0,0,0.05596,0.03595,0.09657,0.29233,0,0.00839,0,0.09923,0.06756,0.16996,5.39355,0.02577,0.20798,0,0.05904,0.02064,0.16029,0.58052,0,0.97877,0,0,0.29873,0.03984,0,0,0,0.12514,0.20986,0,0.02413,0.74792,0,0.08037,0.10013,0.06013,0,0.63249,0.20141,0.10569,0.13085,0,0.02232,0.1465,0,0.01463,0.07328,0.02584,0.06605,0.01619,0.33741,0.01501,0.04442,0,0.11228,0.16041,0.05118,0,0.32696,0.09856,0.28359,0.07407,0,0.01218,0,0.0175,0.20795,0,0,0.00686,0.01753,0.0775,0,0.05968,0,0.10043,0.08628,0.0198,0.08287,0,0.09326,0.00336,0,0.02954,0,1.95998,0,0.24122,0,0.13502,0,4.35749,0.00088,0,0.25703,0,0,0.038,0,0.01817,0.02819,0,0,0.3928,0.07705,0,0.46791,0.00719,2.38721,0.00565,0.02959,0.0563
