Abundance,PSM6XBSE,ESM5GEZA,PSM6XBSG,CSM5MCYU,CSM67U9H,MSM5LLIQ,CSM7KOU7,CSM79HLY,CSM5FZ4E,MSM9VZN4,CSM67U9T,MSM79H9U,CSM79HGH,CSM67UEW,CSM7KOUJ,CSM67U9R,HSM5MD44,CSM79HQT,ESM5MEC7,CSM5MCYO,CSM79HGD,CSM79HGL,CSM5FZ4G,MSM5LLHV,CSM5MCYQ,CSM7KONY,ESM5MEA7,CSM7KONS,CSM79HNG,CSM79HQR,CSM5MCUW,ESM5GEZ6,ESM5MEEJ,CSM79HGJ,MSM79HF1,CSM5MCUQ,CSM5MCUS,CSM7KONW,CSM79HPM,ESM5GEZ4,CSM7KOQ5,MSM6J2N6,HSM7J4JV,CSM5MCUE,CSM5MCUY,CSM79HM5,MSM9VZJF,CSM67UF1,ESM5MEAB,MSM5LLFU,CSM79HM9,CSM5MCUC,CSM67U9P,CSM5MCU8,HSM7CZ2X,HSM7CZ1T,CSM5MCUG,PSM7J1C2,CSM5FZ4K,CSM7KOMR,HSM5MD87,MSM5LLFK,CSM5MCYM,CSM5MCUK,CSM5MCWM,HSM6XRQE,CSM67UEP,ESM5MEA9,HSM7J4JT,MSM5LLFM,CSM67UET,CSM5MCWS,CSM79HGF,CSM79HGN,HSM5MD47,CSM7KOMV,MSM79HD8,CSM5MCTZ,CSM5MCUA,HSMA33P2,CSM5MCXB,CSM79HPQ,CSM5FZ4A,MSM9VZNV,MSM5LLFO,MSM79HD6,CSM5MCYI,HSM5MD43
k__Bacteria,100.0,100.0,100.0,100.0,100.0,100.0,99.09641,100.0,100.0,100.0,100.0,99.97973,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.16642,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
p__Bacteroidetes,56.31925,72.80739,62.65197,43.78382,71.61907,77.66294,72.42718,87.84098,80.61353,70.99197,87.40772,70.1156,61.05361,15.58413,92.65955,81.8961,1.11789,27.81574,82.65108,49.15945,52.96598,45.99879,62.43453,67.81205,35.30034,93.14855,44.81634,82.84493,45.02311,16.17119,70.99284,57.61553,67.59922,74.98684,18.99815,73.78332,59.95217,44.40646,47.21011,76.29333,57.93563,86.6138,84.76919,64.74195,74.87839,76.71673,19.52357,32.35614,65.70771,83.38248,56.3887,81.7264,56.33676,45.10996,70.58245,83.17963,73.69045,96.52231,67.87028,35.28225,48.80646,84.00269,46.02887,57.88954,85.89072,100.0,34.73489,67.69146,77.38213,91.61335,29.08715,0.0,40.01746,83.88423,19.20263,55.14204,19.54767,68.12196,85.46446,67.34109,33.5497,59.10533,93.28011,62.35532,85.28366,78.85252,38.77971,67.46004
p__Firmicutes,43.61304,24.76284,33.49683,39.1229,25.153,22.33706,25.79195,12.15902,18.95581,26.48765,12.19317,25.73622,35.84112,78.9898,7.05541,13.35638,52.76723,57.54353,16.20596,40.90392,43.28256,41.41891,37.17621,26.31622,61.02083,6.20086,37.08418,16.42385,31.22949,75.24597,18.10827,35.31663,31.30293,22.64926,75.74322,20.05959,35.85489,53.69136,48.03778,22.10361,38.00328,10.38831,13.53701,17.75509,12.88954,22.59893,73.62484,65.46882,32.24194,16.55045,41.71071,13.81464,40.91387,39.07658,26.5627,15.29228,21.16634,0.9107,32.00918,59.4555,46.73199,15.71498,51.16541,26.26498,14.06248,0,49.80582,29.79504,21.03794,8.38665,69.01121,0.0,55.12227,13.22206,76.88225,42.42939,36.71672,24.80221,11.27246,30.52376,62.91438,39.0052,6.07361,36.14722,14.54014,19.6826,55.81185,30.30539
p__Actinobacteria,0.048,0.56751,0,0.01504,0.00358,0,0,0,0.05739,0.06338,0.26119,0.02742,1.31852,4.32017,0.04494,1.57001,45.3428,13.34005,0.19763,8.34211,1.28024,0,0.04239,0.14148,1.99797,0,0.00399,0.01012,1.98962,0,0.01478,1.55773,0.09553,0.39926,0.43794,0,0,0.1997,0.75701,0.24883,0.03643,1.17337,0.02625,0.18537,0.04052,0.49118,1.26427,1.70841,0.30461,0,0.89658,0.11208,1.77724,0.51244,0.89914,0.25408,0.01092,0.02218,0.08124,4.29274,1.28979,0,0.87541,0.04652,0.00883,0,14.7569,1.39066,0.3602,0,1.75174,0.0,2.0757,0.04561,2.60237,2.18392,2.33062,0.0354,0.02077,0.19883,1.93288,0.12381,0,0.29726,0,0.0177,4.18985,1.4508
p__Proteobacteria,0.0197,1.86227,2.24951,0.90768,1.10767,0,0.66752,0,0.37327,2.457,0.07036,3.80007,1.78675,1.1059,0.2401,3.16364,0.77207,1.30068,0.94533,1.3723,2.47122,6.06588,0.34687,1.6184,1.68086,0.65059,5.37835,0.69459,0.90177,8.57737,10.75582,5.11674,1.00231,1.80416,2.15147,5.48239,4.19294,1.38604,2.02194,1.35423,4.02465,1.82451,1.66755,3.12904,12.16872,0.19316,5.32807,0.46662,1.66996,0.04324,0.8131,2.30644,0.97213,7.59308,1.95572,1.05758,5.13229,2.54481,0.0393,0.87927,3.17177,0.28233,1.92005,15.79895,0.03798,0,0.70239,1.12284,1.21972,0,0.14989,0.0,2.25194,1.8166,1.31275,0.23184,41.20612,7.04043,2.22602,1.93632,1.43269,1.73045,0.60228,1.2002,0.15705,1.44717,1.21859,0.78377
c__Bacteroidia,56.31925,72.80739,61.28752,43.78382,71.61907,77.66294,72.42718,87.84098,80.61353,70.99197,87.40772,69.61767,61.05361,15.58413,92.65955,81.8961,1.11789,27.81574,82.65108,49.15945,52.96598,45.99879,62.43453,67.81205,35.30034,93.14855,44.81634,82.84493,45.02311,16.17119,70.99284,57.61553,67.59922,74.98684,18.11259,73.78332,59.95217,44.40646,47.21011,76.29333,57.93563,86.6138,84.76919,64.74195,74.87483,76.71673,15.76297,32.35614,65.70771,83.38248,56.37383,81.7264,56.33676,45.10996,70.58245,83.17963,62.11811,96.52231,67.87028,35.20958,48.80646,84.00269,45.9856,51.17225,85.89072,87.38319,34.73489,67.69146,77.38213,91.61335,29.08715,0.0,40.01746,83.88423,19.20263,55.14204,19.54767,61.26565,85.46446,67.34109,33.5497,59.10533,93.28011,62.35532,85.28366,78.85252,38.52212,67.46004
c__Clostridia,41.51654,22.44056,31.20469,32.58357,22.41146,22.33706,20.59086,12.15902,13.39121,24.98539,10.52867,19.75661,30.93668,73.10847,6.69021,10.0005,36.39763,52.70782,14.24218,36.63578,32.02628,35.71402,31.72179,16.83625,56.89044,4.78745,22.93069,14.37506,23.06835,69.69181,14.61137,32.53028,28.77676,16.19911,65.19132,14.29192,33.61344,41.33384,41.64878,20.38081,36.21445,5.21014,10.66594,7.37664,10.75148,20.51043,50.61915,61.72349,24.26869,15.17588,37.31561,11.70486,33.89194,25.09037,22.67404,14.19335,18.20636,0.76078,26.50957,55.6625,42.4629,11.68871,47.74066,24.03028,10.35217,0,43.19801,24.4551,19.79312,6.18124,67.11622,0.0,44.83831,7.20022,71.33129,33.55008,33.78307,22.29402,6.80958,29.04952,59.67725,32.61469,4.77486,34.68055,11.05262,19.23119,46.92666,29.45756
c__Negativicutes,1.56443,0.51581,0.86375,0.89031,0.98169,0,0.40057,0,5.2444,0.25476,1.07606,3.91164,0.12141,3.63024,0.35506,0.02605,3.03336,3.42857,1.0146,3.42643,0.61362,1.98002,4.27676,8.04907,2.71752,0.86232,11.77014,0.90558,0.52682,3.77502,1.78913,0.77229,1.46315,2.95901,3.38896,1.17779,0.67481,0.52339,1.32697,1.07126,1.10043,2.64142,0.43526,9.83665,0.92621,0.12551,13.91526,2.56521,7.40509,1.17285,2.71812,1.5784,0,11.74335,3.59373,0.53048,1.28345,0,3.91476,2.05417,2.25589,3.77346,2.3439,1.33756,3.55091,0,4.91939,3.88902,1.04265,0.8132,1.47097,0.0,0.44165,3.00159,1.3004,0.63186,1.16126,1.41457,3.8542,1.02611,2.51179,0.8341,1.2083,0.24777,2.77011,0.01711,7.33454,0.60192
c__Erysipelotrichia,0.50942,0.01019,0,0,0,0,0.48455,0,0.01494,0,0.19372,0.01277,0,1.45201,0.01013,0,1.78554,0.20394,0.12464,0.06576,0,0,0.05834,0,0.80264,0,2.24285,0,0.49503,0,0.22986,0.14871,0.03176,0,0,1.08462,0.11103,0,0,0.01964,0.19509,0,0,0.02511,0.20594,0,2.56155,0.8428,0,0,0.30741,0,0,0.2065,0.07595,0.02096,0.25551,0.14991,0.28118,0.10701,0.12503,0,0.29103,0.26734,0,0,0.3989,0.95363,0.02079,0,0.2228,0.0,0.03062,0,0,0.02176,0.61006,0.31967,0.01036,0.02343,0.2672,0,0.0006,0.03656,0.01398,0.05877,0.37256,0.05806
c__Actinomycetia,0.048,0.52544,0,0.01504,0.00358,0,0,0,0,0,0.25357,0,1.25617,3.59284,0,0.94866,40.06322,12.33616,0.05873,7.97325,1.00039,0,0,0.09203,1.92497,0,0.00399,0.01012,0,0,0,1.33772,0.08354,0.39926,0,0,0,0.15425,0.75701,0.2265,0.03643,0.93797,0,0.08959,0,0.49118,0.76697,1.36253,0.09899,0,0.83069,0.10455,1.77724,0.17212,0.85391,0.14331,0.00262,0,0,3.87338,1.00564,0,0.72774,0.01432,0,0,14.43622,0.28394,0.227,0,1.75174,0.0,1.77282,0.04561,2.60237,2.11058,0,0.01015,0,0.14406,1.75049,0.12381,0,0.29726,0,0.00853,3.98564,1.41492
