Abundance,HSM6XRT2,HSM7CZ2L,ESM5GEZ3,HSM5MD59,HSM67VFX,MSM9VZMQ,HSM67VGA,HSM5MD6U,HSM7CYYZ,ESM5GEYU,HSM5MD8B,MSM79H94,MSM6J2M3,HSM67VGE,HSM67VDX,HSM5MD6O,HSM5MD8N,HSM6XRQC,CSM79HGR,HSM5MD6G,HSM7CZ2J,MSM6J2PQ,PSM6XBTZ,HSM5MD82,HSM67VG2,HSM5MD6S,HSM5MD6I,HSM67VGI,HSM5MD5D,HSM6XRTG,HSM5MD6K,PSM7J19X,HSM5MD8H,HSM67VDR,HSM5MD8D,HSM5MD5F,HSM6XRSZ,HSM6XRTE,HSM6XRSX,MSM79H52,HSM5MD5B,ESM5GEZ1,HSM7CYYV,HSM5MD8P,HSM6XRT4,MSM79H8J,CSM6J2H9,MSM6J2JF,HSM5MD57,MSM79HCN,HSM67VG6,HSM6XRTC,HSM6XRT6,ESM5ME9H,HSM67VDT,MSM9VZFJ,HSM5MD8L,HSM7CYYR,HSMA33J1,HSM5MD6E,HSM5MD8A,HSM5MD5Z,MSM6J2JH,HSM6XRTA,ESM5MEBP
k__Bacteria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97416,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,99.96957,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92139,100.0,100.0,100.0,100.0,100.0,99.40194,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95971,100.0,100.0
p__Bacteroidetes,74.0458,53.86549,43.46999,47.66445,43.63887,76.61329,74.56644,78.97894,62.19542,57.54098,72.15448,97.65923,27.81367,37.09179,53.63243,91.65303,76.99788,80.15053,73.1371,0.0,73.66703,7.57387,84.31237,61.25989,79.68899,75.34177,68.225,80.69528,45.76733,78.86805,60.2219,46.57586,39.77547,73.7337,76.89854,28.56222,68.14031,54.06024,46.16938,49.18897,46.41083,46.18764,61.75369,83.53884,66.35915,51.94705,58.41189,61.23125,58.89835,63.16231,54.83497,60.79447,23.69754,63.80278,91.02535,74.94672,79.10718,90.44837,50.47565,60.52353,55.23783,97.96815,60.84221,47.90925,50.51634
p__Firmicutes,20.18002,40.1502,54.84889,48.64875,51.07729,22.09516,20.32031,20.72933,34.60691,38.4328,22.54831,2.03078,62.5196,56.13018,38.38751,8.32437,17.60442,17.7263,17.70463,0.0,11.37415,80.6108,13.68266,36.05613,11.28797,24.57542,30.62806,16.2392,43.92156,19.97129,38.34494,48.73316,59.83593,21.77432,21.59173,46.33447,23.04095,35.42907,38.43856,49.10355,47.66973,49.96964,31.77606,15.35738,14.797,45.05171,40.72805,16.77049,25.92568,29.69801,32.49281,33.2946,36.90496,32.64478,6.17086,23.55941,20.37429,5.41826,47.16369,38.4255,40.13286,2.03185,35.40644,40.20273,46.1728
p__Proteobacteria,2.97875,2.65609,1.68112,1.93644,3.15079,1.27489,1.08786,0.02058,1.38782,3.72269,1.42697,0.30999,5.93794,3.22014,1.03306,0.02259,0.34509,2.12317,0.81128,0.0,4.44585,8.29023,1.71189,0.81808,4.51998,0.03001,0.96418,1.30967,2.10638,0.51713,1.4063,4.5847,0.22501,3.24662,0.68128,16.57812,1.70576,2.05749,7.48397,0.50516,2.39021,3.84271,0.38687,0.7996,8.74767,2.06168,0.83239,0.93621,5.66581,2.24367,1.34643,2.77937,15.71948,2.32246,0.23891,1.40204,0.28272,2.55075,1.9393,0.29548,1.49107,0,2.43998,1.10828,3.12877
p__Verrucomicrobia,1.58516,2.79579,0,0.77117,1.21845,0,3.53933,0.08332,0.1135,0,1.7514,0,0.035,0.42541,0,0,4.97076,0,2.49066,0.0,9.50916,0,0,0.05661,4.1323,0,0,1.75586,7.38854,0.57639,0,0,0.10338,0,0.67924,6.01031,5.8224,6.59013,5.52371,0,0.9649,0,6.05211,0.19585,9.47896,0,0,19.22701,8.2701,4.82171,8.74526,2.86112,14.65777,0,2.38611,0,0.20231,1.58262,0,0.00909,0.33738,0,0.04238,9.65046,0
p__Actinobacteria,1.15115,0.53242,0,0.97919,0.9146,0.01666,0.48607,0.15843,1.69635,0.30353,2.10796,0,3.15552,2.49895,6.90833,0,0.08185,0,0.16959,0.0,0.90753,3.12467,0.29308,1.75351,0.28857,0.05279,0.18276,0,0.81619,0.06714,0.02686,0.10628,0.06021,1.24535,0.1492,2.51489,1.29058,1.61802,2.38437,1.06011,2.56432,0,0.03127,0.10832,0.61722,0.09706,0.02767,1.83504,1.24006,0,2.56569,0.26071,9.02024,1.22998,0.17878,0.09183,0.0335,0,0.42136,0.7464,2.80085,0,0.04034,1.12928,0.18209
p__Synergistetes,0.05912,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09629,0,0,0.00593,0.01543,0,0,0,0,0,0,0,0,0,0,0,0,0.09192,0,0.03296,0,0,0,0,0,0,0,0,0,0,0.01483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Bacteroidia,74.0458,53.86549,43.46999,47.66445,43.63887,76.61329,74.56644,78.97894,62.19542,57.54098,72.15448,97.65923,21.96405,37.09179,53.63243,91.65303,76.99788,80.15053,37.55919,0.0,73.66703,6.60173,84.31237,61.25989,79.68899,75.34177,68.225,80.69528,45.76733,78.86805,60.2219,46.57586,39.77547,73.7337,76.89854,28.56222,68.14031,54.06024,46.16938,48.97297,46.41083,46.18764,61.75369,83.53884,66.35915,51.94705,58.41189,61.23125,58.89835,63.16231,54.83497,60.79447,23.69754,63.80278,91.02535,74.94672,79.10718,90.44837,50.47565,60.52353,55.23783,97.96815,60.60118,47.90925,50.51634
c__Clostridia,17.13467,38.73357,53.59416,45.59793,46.59684,17.39126,16.10292,16.93158,14.43026,30.24417,15.0566,1.49028,55.31596,15.74612,35.50862,6.53751,14.50899,9.91509,15.59508,0.0,10.47077,60.04319,11.63885,27.94563,7.49233,23.85437,29.00031,10.04776,38.29538,19.37414,37.00794,45.75535,57.3933,21.26695,19.91472,40.47206,20.92316,24.99717,29.79309,35.2186,41.34267,43.60219,25.57881,11.24581,12.8628,40.10457,36.69961,14.06365,21.28705,26.28719,26.38257,19.54418,33.2232,31.53601,5.39686,21.21267,18.99052,3.01581,42.19309,35.83052,36.42703,1.62389,29.82903,22.83971,43.11684
c__Verrucomicrobiae,1.58516,2.79579,0,0.77117,1.21845,0,3.53933,0.08332,0.1135,0,1.7514,0,0.035,0.42541,0,0,4.97076,0,2.49066,0.0,9.50916,0,0,0.05661,4.1323,0,0,1.75586,7.38854,0.57639,0,0,0.10338,0,0.67924,6.01031,5.8224,6.59013,5.52371,0,0.9649,0,6.05211,0.19585,9.47896,0,0,19.22701,8.2701,4.82171,8.74526,2.86112,14.65777,0,2.38611,0,0.20231,1.58262,0,0.00909,0.33738,0,0.04238,9.65046,0
